# SIGMA_QGP=0.75, SIGMA_HAD=0.1875
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.24903 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3674  0.0001  0.0757  0.1130  0.1787
0.150  0.3408  0.0001  0.0709  0.1044  0.1655
0.250  0.3098  0.0001  0.0656  0.0942  0.1499
0.350  0.2763  0.0001  0.0595  0.0829  0.1339
0.450  0.2421  0.0001  0.0538  0.0714  0.1170
0.550  0.2075  0.0001  0.0475  0.0599  0.1001
0.650  0.1745  0.0001  0.0416  0.0490  0.0839
0.750  0.1441  0.0000  0.0357  0.0391  0.0693
0.850  0.1167  0.0000  0.0302  0.0305  0.0560
0.950  0.0922  0.0000  0.0251  0.0230  0.0441
1.050  0.0706  0.0000  0.0202  0.0172  0.0333
1.150  0.0524  0.0000  0.0160  0.0122  0.0242
1.250  0.0375  0.0000  0.0121  0.0084  0.0170
1.350  0.0257  0.0000  0.0088  0.0055  0.0113
1.450  0.0168  0.0000  0.0063  0.0034  0.0071
1.550  0.0098  0.0000  0.0039  0.0019  0.0040
1.650  0.0048  0.0000  0.0021  0.0009  0.0019
1.750  0.0013  0.0000  0.0006  0.0002  0.0005
