# ICODE=321, JCODE=-2112
# SIGMA_QGP=1, SIGMA_HAD=0.25
# NSAMPLE=1000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.8, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0 -----------------
#dely    BF      QGP    LOCAL  RES_DECAYS
0.050  0.0000  0.0000  0.0000  0.0000
0.150  0.0000  0.0000  0.0000  0.0000
0.250  0.0000  0.0000  0.0000  0.0000
0.350  0.0000  0.0000  0.0000  0.0000
0.450  0.0000  0.0000  0.0000  0.0000
0.550  0.0000  0.0000  0.0000  0.0000
0.650  0.0000  0.0000  0.0000  0.0000
0.750  0.0000  0.0000  0.0000  0.0000
0.850  0.0000  0.0000  0.0000  0.0000
0.950  0.0000  0.0000  0.0000  0.0000
1.050  0.0000  0.0000  0.0000  0.0000
1.150  0.0000  0.0000  0.0000  0.0000
1.250  0.0000  0.0000  0.0000  0.0000
1.350  0.0000  0.0000  0.0000  0.0000
1.450  0.0000  0.0000  0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000
