# ICODE=211, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.2
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.0142495 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0212  0.0000  0.0033  0.0054  0.0125
0.150  0.0205  0.0000  0.0033  0.0051  0.0122
0.250  0.0193  0.0000  0.0031  0.0046  0.0117
0.350  0.0175  0.0000  0.0027  0.0040  0.0108
0.450  0.0155  0.0000  0.0025  0.0033  0.0097
0.550  0.0130  0.0000  0.0022  0.0026  0.0082
0.650  0.0106  0.0000  0.0019  0.0020  0.0067
0.750  0.0086  0.0000  0.0016  0.0015  0.0055
0.850  0.0063  0.0000  0.0013  0.0011  0.0039
0.950  0.0042  0.0000  0.0010  0.0007  0.0025
1.050  0.0027  0.0000  0.0008  0.0005  0.0015
1.150  0.0015  0.0000  0.0005  0.0003  0.0007
1.250  0.0008  0.0000  0.0004  0.0002  0.0003
1.350  0.0004  0.0000  0.0002  0.0001  0.0001
1.450  0.0002  0.0000  0.0001  0.0000  0.0000
1.550  0.0001  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750 -0.0000 -0.0000 -0.0000  0.0000  0.0000
