# ICODE=211, JCODE=-211
# SIGMA_QGP=1, SIGMA_HAD=0.333333
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.897636 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.7874  0.0005  0.1375  0.2218  0.4281
0.150  0.7783  0.0005  0.1364  0.2192  0.4226
0.250  0.7608  0.0005  0.1326  0.2107  0.4175
0.350  0.7403  0.0005  0.1312  0.2000  0.4091
0.450  0.7127  0.0005  0.1292  0.1874  0.3961
0.550  0.6705  0.0005  0.1235  0.1696  0.3774
0.650  0.6257  0.0004  0.1207  0.1536  0.3514
0.750  0.5694  0.0004  0.1141  0.1365  0.3188
0.850  0.5097  0.0004  0.1061  0.1189  0.2846
0.950  0.4539  0.0004  0.1013  0.1030  0.2495
1.050  0.3912  0.0003  0.0925  0.0870  0.2117
1.150  0.3409  0.0003  0.0899  0.0735  0.1774
1.250  0.2888  0.0003  0.0812  0.0609  0.1467
1.350  0.2420  0.0003  0.0752  0.0489  0.1180
1.450  0.2027  0.0002  0.0684  0.0399  0.0945
1.550  0.1673  0.0002  0.0615  0.0318  0.0740
1.650  0.1369  0.0002  0.0551  0.0253  0.0566
1.750  0.1131  0.0002  0.0499  0.0193  0.0439
1.850  0.0923  0.0002  0.0442  0.0150  0.0331
1.950  0.0759  0.0001  0.0389  0.0113  0.0257
2.050  0.0611  0.0001  0.0333  0.0086  0.0192
2.150  0.0498  0.0001  0.0291  0.0064  0.0143
2.250  0.0413  0.0001  0.0263  0.0047  0.0103
2.350  0.0336  0.0001  0.0229  0.0035  0.0072
2.450  0.0262  0.0001  0.0184  0.0025  0.0053
2.550  0.0212  0.0001  0.0161  0.0017  0.0035
2.650  0.0167  0.0001  0.0134  0.0012  0.0021
2.750  0.0134  0.0000  0.0115  0.0008  0.0011
2.850  0.0106  0.0000  0.0094  0.0006  0.0006
2.950  0.0088  0.0000  0.0079  0.0004  0.0005
3.050  0.0070  0.0000  0.0064  0.0003  0.0003
3.150  0.0056  0.0000  0.0052  0.0002  0.0002
3.250  0.0044  0.0000  0.0041  0.0001  0.0002
3.350  0.0037  0.0000  0.0035  0.0001  0.0001
3.450  0.0032  0.0000  0.0031  0.0000  0.0001
3.550  0.0022  0.0000  0.0021  0.0000  0.0001
3.650  0.0018  0.0000  0.0017  0.0000  0.0000
3.750  0.0013  0.0000  0.0012  0.0000  0.0000
3.850  0.0012  0.0000  0.0011  0.0000  0.0000
3.950  0.0009  0.0000  0.0008  0.0000  0.0000
4.050  0.0006  0.0000  0.0006  0.0000  0.0000
4.150  0.0005  0.0000  0.0005  0.0000  0.0000
4.250  0.0003  0.0000  0.0003  0.0000  0.0000
4.350  0.0002  0.0000  0.0002  0.0000  0.0000
4.450  0.0002  0.0000  0.0002  0.0000  0.0000
4.550  0.0002  0.0000  0.0002  0.0000  0.0000
4.650  0.0001  0.0000  0.0001  0.0000  0.0000
4.750  0.0001  0.0000  0.0001  0.0000  0.0000
4.850  0.0001  0.0000  0.0001  0.0000  0.0000
4.950  0.0000  0.0000  0.0000  0.0000  0.0000
5.050  0.0000  0.0000  0.0000  0.0000  0.0000
5.150  0.0000  0.0000  0.0000  0.0000  0.0000
5.250  0.0000  0.0000  0.0000  0.0000  0.0000
5.350  0.0000  0.0000  0.0000  0.0000  0.0000
5.450  0.0000  0.0000  0.0000  0.0000  0.0000
5.550  0.0000  0.0000  0.0000  0.0000  0.0000
5.650  0.0000  0.0000  0.0000  0.0000  0.0000
5.750 -0.0000 -0.0000 -0.0000  0.0000  0.0000
5.850 -0.0000 -0.0000 -0.0000  0.0000  0.0000
5.950  0.0000  0.0000  0.0000  0.0000  0.0000
6.050  0.0000  0.0000  0.0000  0.0000  0.0000
6.150  0.0000  0.0000  0.0000  0.0000  0.0000
6.250  0.0000  0.0000  0.0000  0.0000  0.0000
6.350  0.0000  0.0000  0.0000  0.0000  0.0000
6.450  0.0000  0.0000  0.0000  0.0000  0.0000
6.550  0.0000  0.0000  0.0000  0.0000  0.0000
6.650  0.0000  0.0000  0.0000  0.0000  0.0000
6.750  0.0000  0.0000  0.0000  0.0000  0.0000
6.850  0.0000  0.0000  0.0000  0.0000  0.0000
