# SIGMA_QGP=0.25, SIGMA_HAD=0.25
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.261688 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3992  0.0000  0.1109  0.1094  0.1789
0.150  0.3697  0.0000  0.1028  0.1014  0.1655
0.250  0.3349  0.0000  0.0930  0.0918  0.1500
0.350  0.2969  0.0000  0.0819  0.0811  0.1339
0.450  0.2578  0.0000  0.0705  0.0702  0.1171
0.550  0.2186  0.0000  0.0593  0.0592  0.1001
0.650  0.1813  0.0000  0.0486  0.0488  0.0839
0.750  0.1477  0.0000  0.0391  0.0393  0.0694
0.850  0.1176  0.0000  0.0306  0.0309  0.0561
0.950  0.0910  0.0000  0.0233  0.0236  0.0440
1.050  0.0682  0.0000  0.0173  0.0176  0.0334
1.150  0.0494  0.0000  0.0125  0.0127  0.0243
1.250  0.0345  0.0000  0.0086  0.0089  0.0170
1.350  0.0229  0.0000  0.0057  0.0059  0.0113
1.450  0.0143  0.0000  0.0036  0.0037  0.0070
1.550  0.0081  0.0000  0.0020  0.0021  0.0040
1.650  0.0038  0.0000  0.0010  0.0010  0.0019
1.750  0.0010  0.0000  0.0003  0.0003  0.0005
