# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.333333
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.536108 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3097  0.0028  0.4566 -0.1469  0.0000
0.150  0.3408  0.0031  0.4892 -0.1484  0.0000
0.250  0.3138  0.0030  0.4456 -0.1318  0.0000
0.350  0.3417  0.0034  0.4590 -0.1173  0.0000
0.450  0.3213  0.0034  0.4200 -0.0987  0.0000
0.550  0.3375  0.0039  0.4128 -0.0752  0.0000
0.650  0.3376  0.0041  0.3995 -0.0619  0.0000
0.750  0.3144  0.0043  0.3565 -0.0422  0.0000
0.850  0.3020  0.0045  0.3312 -0.0292  0.0000
0.950  0.2939  0.0048  0.3152 -0.0213  0.0000
1.050  0.2761  0.0049  0.2898 -0.0136  0.0000
1.150  0.2544  0.0049  0.2642 -0.0098  0.0000
1.250  0.2311  0.0049  0.2367 -0.0056  0.0000
1.350  0.2156  0.0049  0.2187 -0.0031  0.0000
1.450  0.1837  0.0046  0.1849 -0.0011  0.0000
1.550  0.1562  0.0043  0.1574 -0.0012  0.0000
1.650  0.1384  0.0040  0.1389 -0.0005  0.0000
1.750  0.1200  0.0038  0.1200 -0.0000  0.0000
1.850  0.1058  0.0037  0.1059 -0.0001  0.0000
1.950  0.0897  0.0033  0.0898 -0.0000  0.0000
2.050  0.0736  0.0030  0.0736  0.0000  0.0000
2.150  0.0563  0.0026  0.0563 -0.0000  0.0000
2.250  0.0517  0.0025  0.0517  0.0000  0.0000
2.350  0.0419  0.0023  0.0419  0.0000  0.0000
2.450  0.0319  0.0020  0.0319  0.0000  0.0000
2.550  0.0315  0.0020  0.0315  0.0000  0.0000
2.650  0.0200  0.0016  0.0200  0.0000  0.0000
2.750  0.0150  0.0013  0.0150  0.0000  0.0000
2.850  0.0119  0.0012  0.0119  0.0000  0.0000
2.950  0.0104  0.0012  0.0104  0.0000  0.0000
3.050  0.0080  0.0010  0.0080  0.0000  0.0000
3.150  0.0064  0.0009  0.0064  0.0000  0.0000
3.250  0.0050  0.0008  0.0050  0.0000  0.0000
3.350  0.0053  0.0008  0.0053  0.0000  0.0000
3.450  0.0023  0.0005  0.0023  0.0000  0.0000
3.550  0.0020  0.0005  0.0020  0.0000  0.0000
3.650  0.0010  0.0004  0.0010  0.0000  0.0000
3.750  0.0009  0.0003  0.0009  0.0000  0.0000
3.850  0.0006  0.0003  0.0006  0.0000  0.0000
3.950  0.0008  0.0004  0.0008  0.0000  0.0000
4.050  0.0002  0.0001  0.0002  0.0000  0.0000
4.150  0.0003  0.0002  0.0003  0.0000  0.0000
4.250  0.0002  0.0002  0.0002  0.0000  0.0000
4.350  0.0000  0.0000  0.0000  0.0000  0.0000
4.450  0.0000  0.0000  0.0000  0.0000  0.0000
4.550  0.0000  0.0000  0.0000  0.0000  0.0000
4.650  0.0001  0.0001  0.0001  0.0000  0.0000
4.750  0.0000  0.0000  0.0000  0.0000  0.0000
4.850  0.0000  0.0000  0.0000  0.0000  0.0000
4.950  0.0000  0.0000  0.0000  0.0000  0.0000
5.050  0.0000  0.0000  0.0000  0.0000  0.0000
5.150  0.0000  0.0000  0.0000  0.0000  0.0000
5.250  0.0000  0.0000  0.0000  0.0000  0.0000
5.350  0.0000  0.0000  0.0000  0.0000  0.0000
5.450  0.0000  0.0000  0.0000  0.0000  0.0000
5.550  0.0000  0.0000  0.0000  0.0000  0.0000
5.650  0.0000  0.0000  0.0000  0.0000  0.0000
5.750  0.0000  0.0000  0.0000  0.0000  0.0000
5.850  0.0000  0.0000  0.0000  0.0000  0.0000
5.950  0.0000  0.0000  0.0000  0.0000  0.0000
6.050  0.0000  0.0000  0.0000  0.0000  0.0000
6.150  0.0000  0.0000  0.0000  0.0000  0.0000
6.250  0.0000  0.0000  0.0000  0.0000  0.0000
6.350  0.0000  0.0000  0.0000  0.0000  0.0000
6.450  0.0000  0.0000  0.0000  0.0000  0.0000
6.550  0.0000  0.0000  0.0000  0.0000  0.0000
6.650  0.0000  0.0000  0.0000  0.0000  0.0000
6.750  0.0000  0.0000  0.0000  0.0000  0.0000
6.850  0.0000  0.0000  0.0000  0.0000  0.0000
