# ICODE=2212, JCODE=-2212
# SIGMA_QGP=0.9546, SIGMA_HAD=0.599011
# NSAMPLE=10000000, Tblast=80.8189, UPERPblast(x,y)=(0.7469,0.7469)
# SOVERUD=0.9327, QUARK_ENTROPY_RATIO=0.2408, BARYON_FUDGE=0.6157
# ------- normalization=0.0706375 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0908  0.0015  0.2428 -0.1519  0.0000
0.150  0.0950  0.0016  0.2354 -0.1404  0.0000
0.250  0.0958  0.0017  0.2168 -0.1210  0.0000
0.350  0.0803  0.0015  0.1907 -0.1105  0.0000
0.450  0.0767  0.0016  0.1653 -0.0885  0.0000
0.550  0.0700  0.0016  0.1330 -0.0629  0.0000
0.650  0.0615  0.0016  0.1127 -0.0512  0.0000
0.750  0.0384  0.0012  0.0723 -0.0340  0.0000
0.850  0.0406  0.0016  0.0607 -0.0201  0.0000
0.950  0.0294  0.0013  0.0420 -0.0126  0.0000
1.050  0.0161  0.0009  0.0247 -0.0086  0.0000
1.150  0.0082  0.0007  0.0119 -0.0037  0.0000
1.250  0.0020  0.0002  0.0041 -0.0021  0.0000
1.350  0.0011  0.0002  0.0018 -0.0007  0.0000
1.450  0.0004  0.0002  0.0005 -0.0001  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
