# SIGMA_QGP=1.0346, SIGMA_HAD=0.504057
# NSAMPLE=10000000, Tblast=80.5748, UPERPblast(x,y)=(0.7937,0.7937)
# SOVERUD=0.7267, QUARK_ENTROPY_RATIO=0.2193, BARYON_FUDGE=0.6948
# ------- normalization=0.228736 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3162  0.0002  0.0771  0.0628  0.1763
0.150  0.2943  0.0002  0.0730  0.0579  0.1633
0.250  0.2670  0.0002  0.0661  0.0527  0.1482
0.350  0.2464  0.0002  0.0635  0.0478  0.1351
0.450  0.2187  0.0002  0.0558  0.0416  0.1214
0.550  0.1917  0.0002  0.0512  0.0356  0.1050
0.650  0.1656  0.0002  0.0453  0.0300  0.0903
0.750  0.1403  0.0002  0.0401  0.0245  0.0756
0.850  0.1158  0.0002  0.0341  0.0197  0.0619
0.950  0.0934  0.0001  0.0288  0.0156  0.0490
1.050  0.0740  0.0001  0.0244  0.0120  0.0375
1.150  0.0562  0.0001  0.0204  0.0089  0.0269
1.250  0.0412  0.0001  0.0160  0.0061  0.0190
1.350  0.0284  0.0001  0.0118  0.0044  0.0123
1.450  0.0192  0.0001  0.0087  0.0029  0.0076
1.550  0.0116  0.0000  0.0056  0.0016  0.0044
1.650  0.0059  0.0000  0.0031  0.0007  0.0021
1.750  0.0016  0.0000  0.0009  0.0002  0.0005
