# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.22332 -----------------
#dely    BF
0.050  0.3298  0.0026
0.150  0.3017  0.0024
0.250  0.2738  0.0023
0.350  0.2639  0.0023
0.450  0.2252  0.0021
0.550  0.1862  0.0019
0.650  0.1495  0.0016
0.750  0.1333  0.0016
0.850  0.0965  0.0013
0.950  0.0939  0.0013
1.050  0.0638  0.0010
1.150  0.0472  0.0009
1.250  0.0261  0.0006
1.350  0.0206  0.0005
1.450  0.0145  0.0005
1.550  0.0062  0.0003
1.650  0.0011  0.0001
1.750 -0.0002 -0.0001
