# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0551602 -----------------
#dely    BF
0.050  0.0759  0.0031
0.150  0.0752  0.0032
0.250  0.0887  0.0038
0.350  0.0629  0.0029
0.450  0.0661  0.0032
0.550  0.0498  0.0028
0.650  0.0377  0.0024
0.750  0.0257  0.0019
0.850  0.0213  0.0019
0.950  0.0217  0.0022
1.050  0.0122  0.0017
1.150  0.0092  0.0013
1.250  0.0042  0.0008
1.350 -0.0007 -0.0003
1.450  0.0009  0.0004
1.550  0.0007  0.0005
1.650  0.0000  0.0000
1.750  0.0000  0.0000
