# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=-0.0166344 -----------------
#dely    BF
0.050 -0.0577 -0.0031
0.150 -0.0407 -0.0022
0.250 -0.0432 -0.0028
0.350 -0.0310 -0.0022
0.450 -0.0166 -0.0013
0.550 -0.0016 -0.0002
0.650 -0.0022 -0.0002
0.750 -0.0018 -0.0003
0.850  0.0172  0.0027
0.950  0.0018  0.0004
1.050  0.0047  0.0011
1.150  0.0038  0.0017
1.250  0.0012  0.0005
1.350 -0.0003 -0.0002
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
