# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0888885 -----------------
#dely    BF
0.050  0.1962  0.0095
0.150  0.1758  0.0083
0.250  0.1593  0.0081
0.350  0.1262  0.0070
0.450  0.0828  0.0052
0.550  0.0592  0.0041
0.650  0.0340  0.0026
0.750  0.0251  0.0022
0.850  0.0174  0.0017
0.950  0.0040  0.0004
1.050  0.0062  0.0008
1.150  0.0016  0.0003
1.250  0.0003  0.0001
1.350  0.0011  0.0004
1.450 -0.0002 -0.0000
1.550 -0.0001 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
