# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=0.24419 -----------------
#dely    BF
0.050  0.3477  0.0025
0.150  0.3272  0.0024
0.250  0.3369  0.0026
0.350  0.2734  0.0022
0.450  0.2529  0.0022
0.550  0.2044  0.0019
0.650  0.1798  0.0018
0.750  0.1382  0.0015
0.850  0.1025  0.0013
0.950  0.1029  0.0014
1.050  0.0727  0.0011
1.150  0.0391  0.0007
1.250  0.0250  0.0005
1.350  0.0133  0.0003
1.450  0.0113  0.0004
1.550  0.0103  0.0005
1.650  0.0045  0.0003
1.750 -0.0001 -0.0000
