# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.185626 -----------------
#dely    BF
0.050 -0.7031 -0.0051
0.150 -0.6489 -0.0049
0.250 -0.3761 -0.0030
0.350 -0.3738 -0.0032
0.450 -0.2068 -0.0019
0.550 -0.1563 -0.0016
0.650 -0.0301 -0.0003
0.750  0.0432  0.0005
0.850  0.0606  0.0008
0.950  0.1084  0.0016
1.050  0.1157  0.0019
1.150  0.0893  0.0017
1.250  0.0793  0.0018
1.350  0.0674  0.0018
1.450  0.0461  0.0016
1.550  0.0234  0.0010
1.650  0.0038  0.0003
1.750  0.0017  0.0004
