# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.291539 -----------------
#dely    BF
0.050 -0.6981 -0.0044
0.150 -0.6956 -0.0046
0.250 -0.6477 -0.0045
0.350 -0.4552 -0.0033
0.450 -0.3454 -0.0027
0.550 -0.2563 -0.0022
0.650 -0.1557 -0.0014
0.750 -0.0112 -0.0001
0.850 -0.0125 -0.0001
0.950  0.0340  0.0004
1.050  0.0281  0.0004
1.150  0.0927  0.0014
1.250  0.0758  0.0014
1.350  0.0554  0.0012
1.450  0.0196  0.0005
1.550  0.0352  0.0011
1.650  0.0233  0.0009
1.750 -0.0015 -0.0001
