# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=0.211388 -----------------
#dely    BF
0.050  0.2584  0.0020
0.150  0.3256  0.0026
0.250  0.2324  0.0020
0.350  0.2068  0.0018
0.450  0.1536  0.0014
0.550  0.1953  0.0019
0.650  0.1828  0.0019
0.750  0.1430  0.0016
0.850  0.1094  0.0013
0.950  0.0806  0.0010
1.050  0.0446  0.0006
1.150  0.0617  0.0009
1.250  0.0313  0.0005
1.350  0.0299  0.0006
1.450  0.0225  0.0005
1.550  0.0202  0.0006
1.650  0.0171  0.0006
1.750 -0.0013 -0.0001
