# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00820335 -----------------
#dely    BF
0.050  0.0176  0.0014
0.150  0.0305  0.0024
0.250  0.0120  0.0010
0.350 -0.0007 -0.0001
0.450  0.0132  0.0013
0.550  0.0072  0.0008
0.650  0.0061  0.0008
0.750  0.0019  0.0003
0.850 -0.0059 -0.0009
0.950 -0.0048 -0.0009
1.050 -0.0010 -0.0003
1.150  0.0018  0.0006
1.250  0.0019  0.0007
1.350  0.0022  0.0012
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
