# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=0.0165773 -----------------
#dely    BF
0.050  0.0403  0.0098
0.150  0.0587  0.0104
0.250  0.0190  0.0047
0.350 -0.0109 -0.0026
0.450  0.0348  0.0074
0.550  0.0061  0.0027
0.650 -0.0142 -0.0047
0.750  0.0161  0.0054
0.850  0.0070  0.0041
0.950  0.0142  0.0064
1.050  0.0008  0.0004
1.150 -0.0038 -0.0027
1.250 -0.0023 -0.0016
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
