'uu_width','ud_width','us_width','ss_width'
0.582908, 0.850394, 0.863094, 0.874119
0.540112, 0.917687, 0.843688, 0.863355
0.553571, 1.02442, 0.887152, 0.900244
0.50394, 1.01702, 0.864489, 1.03354
0.579849, 0.977564, 0.896893, 0.936795
0.592216, 0.909436, 0.898394, 0.892647
0.587644, 0.807227, 0.844057, 0.91635
0.590296, 0.975953, 0.976302, 0.880817
0.590296, 0.975953, 0.976302, 0.880817
0.569197, 0.92845, 0.922653, 0.894706
0.504852, 0.952535, 0.879757, 0.806781
0.533154, 0.922632, 0.828959, 0.83016
0.570001, 0.909358, 0.773457, 0.933903
0.47531, 0.945296, 0.787088, 0.953158
0.518471, 1.01802, 0.839899, 0.960902
0.507794, 0.907105, 0.759753, 1.10357
0.452916, 0.907699, 0.723737, 1.11852
0.543786, 0.808538, 0.676326, 1.02567
0.521742, 0.767911, 0.68787, 0.983329
0.536829, 0.650541, 0.740808, 0.880223
0.524138, 0.632526, 0.742967, 0.863304
0.600905, 0.686309, 0.745823, 0.822544
0.64685, 0.718388, 0.872248, 0.882763
0.600577, 0.704511, 0.789241, 0.905592
0.558419, 0.771002, 0.855542, 0.890692
0.499321, 0.853876, 0.818565, 0.968257
0.580366, 0.805897, 0.789714, 0.988196
0.585698, 0.825078, 0.831354, 0.898912
0.609671, 0.850209, 0.82809, 1.04938
0.523885, 0.979055, 0.826783, 1.04841
0.603389, 0.990685, 0.930552, 0.904187
0.560483, 0.94192, 0.920528, 0.919465
0.587507, 1.02436, 0.887124, 0.901533
0.6383, 0.983237, 0.933755, 0.920216
0.624583, 1.00605, 0.934686, 0.934422
0.58324, 0.956329, 0.878187, 1.0135
0.561277, 0.932685, 0.889468, 0.974555
0.434728, 0.841372, 0.879243, 0.87239
0.484029, 0.921811, 0.88009, 0.918705
0.484029, 0.921811, 0.88009, 0.918705
0.569464, 0.913528, 0.875984, 0.832088
0.475465, 0.958849, 0.926709, 0.879534
0.57167, 0.935296, 0.910452, 0.851037
0.611745, 0.968649, 0.959021, 0.888089
0.611745, 0.968649, 0.959021, 0.888089
0.528787, 1.01257, 0.943213, 0.959011
0.599263, 0.957168, 0.949482, 0.879249
0.475642, 1.08927, 0.935747, 0.813432
0.569859, 1.07879, 0.936406, 0.87044
0.622457, 0.980581, 0.968498, 0.84141
0.545607, 1.04175, 0.914526, 0.965684
0.501519, 0.995562, 0.864764, 0.960316
0.471764, 1.11173, 0.847564, 1.02341
0.547702, 1.14994, 0.866159, 0.951665
0.656868, 1.10448, 1.00995, 0.986856
0.617077, 1.0422, 1.04428, 0.962457
0.624452, 1.20068, 0.975635, 0.968644
0.563158, 1.25345, 0.925591, 0.967922
