'uu_width','ud_width','us_width','ss_width'
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.995226, 0.532014, 0.130566, 0.119388
0.986714, 0.486681, 0.121474, 0.116408
0.986714, 0.486681, 0.121474, 0.116408
0.933983, 0.536564, 0.11899, 0.17595
0.933983, 0.536564, 0.11899, 0.17595
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
1.00131, 0.544089, 0.10449, 0.104574
0.953621, 0.538201, 0.197394, 0.100449
0.950182, 0.567962, 0.153953, 0.119225
0.950182, 0.567962, 0.153953, 0.119225
0.950182, 0.567962, 0.153953, 0.119225
0.964113, 0.570576, 0.180178, 0.144831
0.996481, 0.685736, 0.126855, 0.176808
0.907834, 0.778752, 0.133187, 0.214357
0.933784, 0.734136, 0.116808, 0.109194
0.933784, 0.734136, 0.116808, 0.109194
0.950741, 0.762295, 0.118484, 0.131247
0.950741, 0.762295, 0.118484, 0.131247
0.950741, 0.762295, 0.118484, 0.131247
0.950741, 0.762295, 0.118484, 0.131247
0.923309, 0.819312, 0.105373, 0.127253
0.923309, 0.819312, 0.105373, 0.127253
0.923309, 0.819312, 0.105373, 0.127253
0.923309, 0.819312, 0.105373, 0.127253
0.867483, 0.648034, 0.103757, 0.138048
0.873234, 0.667016, 0.155806, 0.142027
1.00193, 0.548373, 0.184328, 0.100907
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.933803, 0.485368, 0.129365, 0.100809
0.977848, 0.464458, 0.13966, 0.11959
0.977848, 0.464458, 0.13966, 0.11959
0.914671, 0.513435, 0.110669, 0.130006
0.914671, 0.513435, 0.110669, 0.130006
0.929718, 0.490794, 0.126833, 0.135113
0.929718, 0.490794, 0.126833, 0.135113
1.03651, 0.515093, 0.137088, 0.122531
1.03651, 0.515093, 0.137088, 0.122531
1.03651, 0.515093, 0.137088, 0.122531
1.03651, 0.515093, 0.137088, 0.122531
1.02196, 0.41268, 0.10377, 0.122795
0.991735, 0.40681, 0.108879, 0.115946
0.991735, 0.40681, 0.108879, 0.115946
0.991735, 0.40681, 0.108879, 0.115946
0.991735, 0.40681, 0.108879, 0.115946
0.991735, 0.40681, 0.108879, 0.115946
0.948926, 0.426693, 0.140257, 0.129316
0.968394, 0.436186, 0.102571, 0.170457
0.992295, 0.45687, 0.143497, 0.143819
1.00746, 0.487943, 0.123456, 0.153262
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
1.01881, 0.521622, 0.149397, 0.113621
0.990856, 0.508813, 0.13769, 0.155851
0.999848, 0.570183, 0.143423, 0.171393
0.875487, 0.51545, 0.119954, 0.185726
0.942652, 0.551893, 0.133467, 0.214585
0.980665, 0.639455, 0.198516, 0.236367
1.06784, 0.671803, 0.171767, 0.110629
1.0084, 0.600923, 0.218097, 0.142616
0.969451, 0.657414, 0.219974, 0.128955
0.989032, 0.690118, 0.217109, 0.144893
0.999175, 0.75142, 0.267072, 0.154
0.999175, 0.75142, 0.267072, 0.154
0.948982, 0.856488, 0.174363, 0.212745
0.98929, 0.850711, 0.194766, 0.180042
0.921502, 0.896843, 0.217191, 0.14408
0.955065, 0.926444, 0.209685, 0.131274
0.955065, 0.926444, 0.209685, 0.131274
0.869882, 0.931181, 0.162218, 0.16342
0.859668, 0.975851, 0.13417, 0.103806
0.859668, 0.975851, 0.13417, 0.103806
0.899528, 0.924877, 0.14937, 0.105994
0.907586, 1.04485, 0.112193, 0.179911
0.907586, 1.04485, 0.112193, 0.179911
0.847069, 0.964881, 0.177204, 0.100401
0.854557, 0.928744, 0.231479, 0.109299
0.87492, 0.794821, 0.177918, 0.201129
0.930463, 0.721251, 0.236369, 0.161424
0.918875, 0.732, 0.160652, 0.130967
0.918875, 0.732, 0.160652, 0.130967
0.906427, 0.705227, 0.152616, 0.105616
0.937632, 0.693375, 0.116638, 0.145056
0.937632, 0.693375, 0.116638, 0.145056
0.955204, 0.715, 0.15397, 0.118656
0.955204, 0.715, 0.15397, 0.118656
0.955204, 0.715, 0.15397, 0.118656
0.945432, 0.666557, 0.130651, 0.103598
0.945432, 0.666557, 0.130651, 0.103598
0.945432, 0.666557, 0.130651, 0.103598
0.930072, 0.661324, 0.156361, 0.129264
0.86796, 0.64661, 0.184903, 0.171293
0.924267, 0.554445, 0.113917, 0.127377
0.924267, 0.554445, 0.113917, 0.127377
0.924267, 0.554445, 0.113917, 0.127377
0.92338, 0.626462, 0.115336, 0.101352
0.950023, 0.561782, 0.130442, 0.10332
1.00173, 0.513934, 0.20135, 0.137733
1.00646, 0.482754, 0.145843, 0.113168
1.00646, 0.482754, 0.145843, 0.113168
1.04844, 0.497581, 0.118846, 0.104296
1.01047, 0.528807, 0.137521, 0.146632
0.982041, 0.4883, 0.12748, 0.174613
0.954496, 0.581898, 0.143017, 0.209813
1.00712, 0.487517, 0.126517, 0.20219
1.05784, 0.491448, 0.139736, 0.101226
1.05784, 0.491448, 0.139736, 0.101226
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.940819, 0.58259, 0.116183, 0.145982
0.951072, 0.618825, 0.180286, 0.114974
