# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0878407 -----------------
#dely    BF
0.050  0.1839  0.0074
0.150  0.1459  0.0060
0.250  0.1429  0.0062
0.350  0.1076  0.0052
0.450  0.0954  0.0048
0.550  0.0746  0.0044
0.650  0.0435  0.0028
0.750  0.0335  0.0026
0.850  0.0246  0.0023
0.950  0.0129  0.0015
1.050  0.0037  0.0006
1.150  0.0074  0.0012
1.250  0.0018  0.0004
1.350  0.0001  0.0000
1.450 -0.0002 -0.0001
1.550  0.0007  0.0007
1.650  0.0000  0.0000
1.750  0.0000  0.0000
