# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.39038 -----------------
#dely    BF
0.050 -0.3142 -0.0031
0.150 -0.3811 -0.0039
0.250 -0.2579 -0.0028
0.350 -0.3524 -0.0040
0.450 -0.3737 -0.0044
0.550 -0.2775 -0.0035
0.650 -0.2463 -0.0033
0.750 -0.2855 -0.0040
0.850 -0.2434 -0.0038
0.950 -0.3026 -0.0051
1.050 -0.2574 -0.0048
1.150 -0.2124 -0.0044
1.250 -0.1575 -0.0037
1.350 -0.0886 -0.0024
1.450 -0.0922 -0.0031
1.550 -0.0493 -0.0021
1.650 -0.0129 -0.0008
1.750  0.0013  0.0003
