# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=6.63602e-05 -----------------
#dely    BF
0.050  0.0218  0.0020
0.150  0.0674  0.0070
0.250  0.0537  0.0050
0.350 -0.0692 -0.0065
0.450  0.0074  0.0008
0.550  0.0522  0.0063
0.650 -0.0171 -0.0023
0.750  0.0018  0.0003
0.850 -0.0624 -0.0118
0.950 -0.0177 -0.0044
1.050 -0.0397 -0.0089
1.150  0.0053  0.0019
1.250 -0.0045 -0.0017
1.350  0.0039  0.0028
1.450 -0.0023 -0.0023
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
