# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0105404 -----------------
#dely    BF
0.050 -0.2619 -0.0099
0.150 -0.2548 -0.0102
0.250 -0.1233 -0.0052
0.350 -0.0582 -0.0027
0.450 -0.0636 -0.0032
0.550  0.0438  0.0025
0.650  0.0916  0.0060
0.750  0.0840  0.0069
0.850  0.1585  0.0145
0.950  0.0471  0.0050
1.050  0.1195  0.0171
1.150  0.0524  0.0083
1.250  0.0235  0.0057
1.350  0.0064  0.0019
1.450  0.0221  0.0099
1.550  0.0075  0.0075
1.650  0.0000  0.0000
1.750  0.0000  0.0000
