# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.540138 -----------------
#dely    BF
0.050 -0.3539 -0.0020
0.150 -0.4216 -0.0025
0.250 -0.4136 -0.0026
0.350 -0.3058 -0.0020
0.450 -0.4377 -0.0032
0.550 -0.3888 -0.0030
0.650 -0.4093 -0.0035
0.750 -0.3249 -0.0030
0.850 -0.6568 -0.0069
0.950 -0.3498 -0.0041
1.050 -0.4643 -0.0062
1.150 -0.2714 -0.0042
1.250 -0.2033 -0.0036
1.350 -0.2730 -0.0057
1.450 -0.0613 -0.0016
1.550 -0.0307 -0.0010
1.650 -0.0347 -0.0016
1.750 -0.0004 -0.0000
