# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.104216 -----------------
#dely    BF
0.050  0.1272  0.0008
0.150  0.0995  0.0006
0.250  0.1447  0.0010
0.350  0.0959  0.0007
0.450  0.1323  0.0010
0.550  0.1110  0.0009
0.650  0.1400  0.0012
0.750  0.0340  0.0003
0.850  0.0809  0.0008
0.950  0.0820  0.0009
1.050  0.0365  0.0005
1.150  0.0240  0.0004
1.250 -0.0294 -0.0005
1.350 -0.0397 -0.0008
1.450 -0.0072 -0.0002
1.550 -0.0064 -0.0002
1.650  0.0076  0.0003
1.750  0.0092  0.0007
