# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0384078 -----------------
#dely    BF
0.050  0.9868  0.0714
0.150  0.7485  0.0508
0.250  0.6467  0.0505
0.350  0.2229  0.0191
0.450  0.0937  0.0092
0.550 -0.8000 -0.0877
0.650 -0.7599 -0.0881
0.750  0.3529  0.0558
0.850 -0.4501 -0.0720
0.950 -0.4800 -0.0900
1.050 -0.2592 -0.0598
1.150  0.0773  0.0234
1.250  0.0152  0.0062
1.350 -0.0108 -0.0108
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
