# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.291093 -----------------
#dely    BF
0.050 -0.4752 -0.0034
0.150 -0.3582 -0.0027
0.250 -0.1983 -0.0015
0.350 -0.1575 -0.0013
0.450  0.0304  0.0003
0.550  0.2602  0.0023
0.650  0.5567  0.0053
0.750  0.5441  0.0056
0.850  0.5282  0.0059
0.950  0.5520  0.0066
1.050  0.4696  0.0062
1.150  0.3868  0.0057
1.250  0.2661  0.0045
1.350  0.2157  0.0041
1.450  0.1649  0.0037
1.550  0.0348  0.0009
1.650  0.0594  0.0022
1.750  0.0314  0.0021
