# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.013496 -----------------
#dely    BF
0.050  0.0223  0.0004
0.150  0.0178  0.0003
0.250  0.0194  0.0004
0.350  0.0156  0.0003
0.450  0.0262  0.0006
0.550  0.0241  0.0006
0.650 -0.0062 -0.0002
0.750  0.0151  0.0005
0.850  0.0047  0.0002
0.950  0.0047  0.0002
1.050 -0.0143 -0.0007
1.150  0.0022  0.0001
1.250  0.0073  0.0005
1.350 -0.0004 -0.0000
1.450 -0.0078 -0.0009
1.550  0.0012  0.0002
1.650  0.0030  0.0014
1.750  0.0000  0.0000
