# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0963328 -----------------
#dely    BF
0.050  0.8191  0.0054
0.150  0.7693  0.0053
0.250  0.7354  0.0053
0.350  0.6553  0.0050
0.450  0.1857  0.0015
0.550  0.2662  0.0023
0.650 -0.0273 -0.0003
0.750 -0.2456 -0.0024
0.850 -0.3441 -0.0038
0.950 -0.5370 -0.0064
1.050 -0.6046 -0.0079
1.150 -0.7719 -0.0114
1.250 -0.4893 -0.0082
1.350 -0.5393 -0.0104
1.450 -0.4581 -0.0106
1.550 -0.2654 -0.0076
1.650 -0.0833 -0.0032
1.750 -0.0283 -0.0020
