# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0609904 -----------------
#dely    BF
0.050  0.1070  0.0043
0.150  0.0885  0.0037
0.250  0.0669  0.0030
0.350  0.0785  0.0038
0.450  0.0664  0.0034
0.550  0.0534  0.0030
0.650  0.0488  0.0030
0.750  0.0338  0.0026
0.850  0.0266  0.0021
0.950  0.0187  0.0021
1.050  0.0060  0.0008
1.150  0.0081  0.0014
1.250  0.0057  0.0011
1.350  0.0024  0.0007
1.450 -0.0006 -0.0002
1.550 -0.0002 -0.0002
1.650  0.0000  0.0000
1.750  0.0000  0.0000
