# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0273068 -----------------
#dely    BF
0.050  0.0557  0.0011
0.150  0.0652  0.0014
0.250  0.0724  0.0016
0.350  0.0627  0.0014
0.450  0.0342  0.0008
0.550  0.0111  0.0003
0.650 -0.0078 -0.0002
0.750  0.0105  0.0003
0.850  0.0030  0.0001
0.950  0.0010  0.0000
1.050  0.0003  0.0000
1.150  0.0068  0.0002
1.250 -0.0016 -0.0001
1.350  0.0002  0.0000
1.450 -0.0068 -0.0002
1.550 -0.0019 -0.0001
1.650 -0.0029 -0.0001
1.750  0.0120  0.0004
1.850  0.0002  0.0000
1.950  0.0060  0.0002
2.050  0.0075  0.0003
2.150  0.0035  0.0002
2.250 -0.0038 -0.0002
2.350  0.0042  0.0002
2.450  0.0205  0.0010
2.550  0.0052  0.0003
2.650 -0.0085 -0.0004
2.750 -0.0090 -0.0005
2.850  0.0044  0.0002
2.950 -0.0154 -0.0009
3.050 -0.0139 -0.0009
3.150  0.0035  0.0002
3.250 -0.0036 -0.0002
3.350  0.0076  0.0005
3.450  0.0007  0.0000
3.550 -0.0109 -0.0007
3.650 -0.0112 -0.0008
3.750 -0.0036 -0.0003
3.850 -0.0063 -0.0005
3.950 -0.0120 -0.0009
4.050  0.0134  0.0011
4.150 -0.0024 -0.0002
4.250 -0.0007 -0.0001
4.350 -0.0112 -0.0010
4.450 -0.0005 -0.0000
4.550  0.0029  0.0003
4.650  0.0001  0.0000
4.750 -0.0042 -0.0005
4.850 -0.0082 -0.0010
4.950  0.0050  0.0006
5.050 -0.0091 -0.0011
5.150  0.0017  0.0002
5.250 -0.0030 -0.0004
5.350 -0.0043 -0.0006
5.450  0.0084  0.0011
5.550 -0.0107 -0.0015
5.650  0.0048  0.0008
5.750  0.0035  0.0006
5.850  0.0163  0.0024
5.950 -0.0028 -0.0004
6.050  0.0003  0.0000
6.150  0.0006  0.0001
6.250 -0.0008 -0.0001
6.350  0.0141  0.0023
6.450 -0.0011 -0.0002
6.550  0.0046  0.0008
6.650 -0.0069 -0.0014
6.750  0.0027  0.0005
6.850  0.0045  0.0008
6.950  0.0053  0.0010
7.050 -0.0089 -0.0018
7.150 -0.0007 -0.0002
7.250 -0.0044 -0.0010
7.350 -0.0051 -0.0013
7.450  0.0064  0.0015
7.550  0.0011  0.0002
7.650 -0.0224 -0.0052
7.750  0.0002  0.0000
7.850  0.0069  0.0020
7.950  0.0020  0.0007
8.050  0.0020  0.0006
8.150 -0.0039 -0.0012
8.250 -0.0000 -0.0000
8.350  0.0056  0.0025
8.450  0.0027  0.0009
8.550  0.0010  0.0004
8.650  0.0000  0.0000
8.750 -0.0000 -0.0000
8.850  0.0044  0.0017
8.950  0.0019  0.0007
9.050  0.0007  0.0003
9.150  0.0016  0.0004
9.250  0.0033  0.0012
9.350  0.0004  0.0002
9.450  0.0006  0.0003
9.550  0.0006  0.0003
9.650  0.0002  0.0001
9.750 -0.0001 -0.0000
9.850  0.0000  0.0000
9.950  0.0001  0.0001
10.050 -0.0013 -0.0007
10.150  0.0008  0.0003
10.250  0.0004  0.0002
10.350 -0.0001 -0.0001
10.450 -0.0162 -0.0072
10.550  0.0000  0.0000
10.650 -0.0001 -0.0001
10.750  0.0005  0.0003
10.850 -0.0017 -0.0017
10.950 -0.0012 -0.0007
11.050  0.0000  0.0000
11.150  0.0000  0.0000
11.250 -0.0004 -0.0002
11.350 -0.0005 -0.0003
11.450 -0.0008 -0.0005
11.550 -0.0004 -0.0004
11.650  0.0000  0.0000
11.750 -0.0014 -0.0014
11.850  0.0000  0.0000
11.950  0.0009  0.0005
