# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.31907 -----------------
#dely    BF    dB     BFVar
0.050  0.5669  0.0003  0.0058
0.150  0.5231  0.0003  0.0042
0.250  0.4598  0.0003  0.0058
0.350  0.3917  0.0002  0.0042
0.450  0.3260  0.0002  0.0043
0.550  0.2619  0.0002  0.0038
0.650  0.2040  0.0002  0.0040
0.750  0.1539  0.0001  0.0052
0.850  0.1105  0.0001  0.0023
0.950  0.0772  0.0001  0.0019
1.050  0.0503  0.0001  0.0011
1.150  0.0318  0.0000  0.0018
1.250  0.0185  0.0000  0.0016
1.350  0.0095  0.0000  0.0006
1.450  0.0042  0.0000  0.0005
1.550  0.0013  0.0000  0.0003
1.650  0.0000  0.0000  0.0001
1.750 -0.0000 -0.0000  0.0000
