# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.264205 -----------------
#dely    BF    dB     BFVar
0.050  0.4494  0.0002  0.0042
0.150  0.4078  0.0002  0.0033
0.250  0.3623  0.0002  0.0066
0.350  0.3113  0.0001  0.0063
0.450  0.2621  0.0001  0.0041
0.550  0.2145  0.0001  0.0039
0.650  0.1708  0.0001  0.0019
0.750  0.1325  0.0001  0.0021
0.850  0.1026  0.0001  0.0041
0.950  0.0758  0.0001  0.0013
1.050  0.0550  0.0001  0.0019
1.150  0.0384  0.0000  0.0019
1.250  0.0257  0.0000  0.0012
1.350  0.0163  0.0000  0.0010
1.450  0.0095  0.0000  0.0013
1.550  0.0052  0.0000  0.0003
1.650  0.0025  0.0000  0.0005
1.750  0.0005  0.0000  0.0002
