# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=1.01275 -----------------
#dely    BF
0.050  0.4312  0.0023
0.150  0.4449  0.0024
0.250  0.4635  0.0025
0.350  0.4977  0.0027
0.450  0.4956  0.0027
0.550  0.5397  0.0030
0.650  0.5440  0.0031
0.750  0.4976  0.0029
0.850  0.4635  0.0027
0.950  0.5325  0.0032
1.050  0.4516  0.0028
1.150  0.3643  0.0023
1.250  0.3931  0.0026
1.350  0.3129  0.0021
1.450  0.3404  0.0024
1.550  0.2261  0.0016
1.650  0.2177  0.0016
1.750  0.1837  0.0014
1.850  0.1101  0.0009
1.950  0.1334  0.0011
2.050  0.0367  0.0003
2.150  0.0339  0.0003
2.250 -0.0425 -0.0004
2.350 -0.0352 -0.0003
2.450  0.0154  0.0001
2.550 -0.0449 -0.0004
2.650 -0.0078 -0.0001
2.750 -0.0482 -0.0005
2.850 -0.0324 -0.0003
2.950 -0.0424 -0.0005
3.050 -0.0367 -0.0004
3.150 -0.0535 -0.0006
3.250 -0.0374 -0.0005
3.350 -0.0405 -0.0005
3.450 -0.0020 -0.0000
3.550 -0.0358 -0.0005
3.650 -0.0441 -0.0006
3.750 -0.0032 -0.0000
3.850  0.0001  0.0000
3.950 -0.0136 -0.0002
4.050 -0.0043 -0.0001
4.150  0.0135  0.0002
4.250 -0.0113 -0.0002
4.350  0.0239  0.0004
4.450  0.0230  0.0004
4.550  0.0001  0.0000
4.650  0.0624  0.0011
4.750 -0.0036 -0.0001
4.850 -0.0044 -0.0001
4.950  0.0282  0.0006
5.050  0.0404  0.0008
5.150  0.0030  0.0001
5.250  0.0367  0.0008
5.350  0.0594  0.0013
5.450 -0.0193 -0.0005
5.550  0.0666  0.0016
5.650  0.1006  0.0025
5.750  0.0397  0.0010
5.850  0.0463  0.0012
5.950  0.0562  0.0015
6.050  0.0704  0.0020
6.150  0.0618  0.0018
6.250  0.0851  0.0025
6.350 -0.0268 -0.0008
6.450  0.0661  0.0021
6.550 -0.0160 -0.0005
6.650  0.0543  0.0018
6.750 -0.0121 -0.0004
6.850  0.0448  0.0015
6.950  0.0653  0.0023
7.050  0.0602  0.0022
7.150  0.0217  0.0008
7.250  0.0440  0.0016
7.350  0.1027  0.0042
7.450  0.0571  0.0024
7.550  0.0630  0.0026
7.650  0.0438  0.0019
7.750  0.0405  0.0018
7.850  0.0623  0.0029
7.950  0.1212  0.0058
8.050  0.0580  0.0028
8.150  0.0419  0.0022
8.250  0.0528  0.0026
8.350  0.0577  0.0031
8.450  0.0491  0.0026
8.550  0.0695  0.0039
8.650  0.0225  0.0013
8.750  0.0169  0.0010
8.850  0.0564  0.0034
8.950  0.0561  0.0035
9.050  0.0455  0.0028
9.150  0.0050  0.0003
9.250  0.0144  0.0010
9.350  0.0707  0.0052
9.450  0.0356  0.0026
9.550 -0.0062 -0.0005
9.650  0.0111  0.0008
9.750  0.0694  0.0056
9.850  0.0260  0.0021
9.950 -0.0089 -0.0008
10.050  0.0105  0.0008
10.150  0.1130  0.0102
10.250  0.1270  0.0118
10.350  0.0540  0.0049
10.450  0.0423  0.0046
10.550 -0.0163 -0.0017
10.650  0.0352  0.0039
10.750  0.0095  0.0010
10.850  0.0364  0.0040
10.950 -0.0471 -0.0065
11.050  0.1183  0.0140
11.150  0.0108  0.0012
11.250  0.2779  0.0645
11.350 -0.0098 -0.0017
11.450  0.0723  0.0115
11.550  0.0843  0.0114
11.650  0.0423  0.0062
11.750  0.0604  0.0103
11.850  0.0902  0.0385
11.950  0.8079  0.0000
