# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0117413 -----------------
#dely    BF    dB     BFVar
0.050 -0.0046 -0.0000  0.0022
0.150 -0.0019 -0.0000  0.0058
0.250  0.0072  0.0000  0.0041
0.350  0.0140  0.0001  0.0021
0.450  0.0156  0.0001  0.0015
0.550  0.0176  0.0001  0.0015
0.650  0.0161  0.0002  0.0014
0.750  0.0166  0.0002  0.0009
0.850  0.0122  0.0002  0.0021
0.950  0.0099  0.0001  0.0011
1.050  0.0067  0.0001  0.0018
1.150  0.0043  0.0001  0.0024
1.250  0.0022  0.0001  0.0010
1.350  0.0009  0.0000  0.0002
1.450  0.0005  0.0000  0.0001
1.550  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
