# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0330449 -----------------
#dely    BF
0.050 -0.0104 -0.0000
0.150 -0.0142 -0.0000
0.250 -0.0136 -0.0000
0.350 -0.0155 -0.0000
0.450 -0.0197 -0.0000
0.550 -0.0195 -0.0000
0.650 -0.0233 -0.0000
0.750 -0.0261 -0.0000
0.850 -0.0260 -0.0000
0.950 -0.0265 -0.0000
1.050 -0.0260 -0.0001
1.150 -0.0265 -0.0001
1.250 -0.0240 -0.0001
1.350 -0.0212 -0.0001
1.450 -0.0168 -0.0001
1.550 -0.0121 -0.0000
1.650 -0.0069 -0.0000
1.750 -0.0022 -0.0000
