# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0134737 -----------------
#dely    BF
0.050  0.0940  0.0054
0.150  0.0663  0.0037
0.250  0.1116  0.0063
0.350  0.1147  0.0069
0.450  0.0679  0.0041
0.550  0.0915  0.0057
0.650 -0.0034 -0.0002
0.750 -0.0040 -0.0003
0.850  0.0249  0.0017
0.950  0.0435  0.0035
1.050  0.0224  0.0016
1.150 -0.0089 -0.0007
1.250 -0.0163 -0.0013
1.350  0.0080  0.0007
1.450 -0.0004 -0.0000
1.550 -0.0232 -0.0021
1.650 -0.0549 -0.0051
1.750 -0.0380 -0.0040
1.850 -0.0441 -0.0045
1.950 -0.0453 -0.0049
2.050 -0.0783 -0.0079
2.150 -0.0653 -0.0074
2.250 -0.0537 -0.0059
2.350 -0.0631 -0.0073
2.450 -0.0522 -0.0063
2.550 -0.0638 -0.0084
2.650 -0.0482 -0.0062
2.750 -0.0382 -0.0054
2.850 -0.0490 -0.0067
2.950 -0.0265 -0.0045
3.050 -0.0372 -0.0061
3.150 -0.0271 -0.0041
3.250 -0.0341 -0.0053
3.350 -0.0011 -0.0002
3.450 -0.0336 -0.0061
3.550 -0.0282 -0.0054
3.650 -0.0316 -0.0056
3.750 -0.0288 -0.0054
3.850 -0.0206 -0.0052
3.950 -0.0551 -0.0108
4.050 -0.0220 -0.0048
4.150 -0.0160 -0.0041
4.250 -0.0088 -0.0022
4.350 -0.0026 -0.0006
4.450 -0.0268 -0.0060
4.550 -0.0045 -0.0013
4.650 -0.0052 -0.0019
4.750 -0.0587 -0.0135
4.850  0.0014  0.0005
4.950 -0.0116 -0.0030
5.050 -0.0083 -0.0022
5.150 -0.0047 -0.0016
5.250  0.0035  0.0018
5.350 -0.0043 -0.0012
5.450  0.0109  0.0027
5.550  0.0119  0.0036
5.650 -0.0465 -0.0209
5.750  0.0423  0.0173
5.850  0.0105  0.0047
5.950  0.0193  0.0097
6.050  0.0280  0.0141
6.150 -0.0203 -0.0091
6.250  0.0616  0.0219
6.350  0.0229  0.0115
6.450 -0.0225 -0.0114
6.550 -0.0223 -0.0114
6.650  0.0586  0.0243
6.750 -0.0166 -0.0118
6.850  0.0000  0.0000
6.950  0.0051  0.0036
7.050 -0.0416 -0.0257
7.150  0.0322  0.0228
7.250  0.0000  0.0000
7.350  0.0487  0.0487
7.450  0.0504  0.0360
7.550  0.0180  0.0128
7.650  0.0148  0.0105
7.750  0.0155  0.0155
7.850  0.0520  0.0520
7.950  0.0368  0.0368
8.050  0.0248  0.0176
8.150  0.0000  0.0000
8.250  0.0086  0.0086
8.350  0.0000  0.0000
8.450  0.0187  0.0133
8.550 -0.0471 -0.0357
8.650  0.0199  0.0199
8.750  0.0000  0.0000
8.850  0.0000  0.0000
8.950  0.0000  0.0000
9.050  0.0411  0.0411
9.150  0.0000  0.0000
9.250  0.0000  0.0000
9.350 -0.0756 -0.0756
9.450  0.0000  0.0000
9.550 -0.0416 -0.0416
9.650  0.0000  0.0000
9.750  0.0000  0.0000
9.850  0.0000  0.0000
9.950  0.1077  0.0881
10.050  0.0000  0.0000
10.150  0.0000  0.0000
10.250  0.0000  0.0000
10.350  0.0000  0.0000
10.450  0.0000  0.0000
10.550  0.0000  0.0000
10.650  0.0209  0.0209
10.750  0.1354  0.1354
10.850  0.0000  0.0000
10.950  0.0000  0.0000
11.050  0.0476  0.0476
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350  0.0251  0.0251
11.450  0.0000  0.0000
11.550  0.0000  0.0000
11.650  0.0000  0.0000
11.750  0.0000  0.0000
11.850  0.0000  0.0000
11.950  0.0000  0.0000
