# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0 -----------------
#dely    BF_mean   BF_sq    BF_var    Samples
0.050   0.3269  0.1070  0.0082 2000000
0.150   0.2964  0.0879  0.0077 2000000
0.250   0.2746  0.0755  0.0098 2000000
0.350   0.2534  0.0643  0.0062 2000000
0.450   0.2259  0.0511  0.0074 2000000
0.550   0.1893  0.0359  0.0072 2000000
0.650   0.1710  0.0293  0.0090 2000000
0.750   0.1318  0.0174  0.0068 2000000
0.850   0.1174  0.0138  0.0057 2000000
0.950   0.0878  0.0077  0.0060 2000000
1.050   0.0616  0.0038  0.0034 2000000
1.150   0.0453  0.0021  0.0051 2000000
1.250   0.0319  0.0010  0.0022 2000000
1.350   0.0172  0.0003  0.0013 2000000
1.450   0.0102  0.0001  0.0019 2000000
1.550   0.0047  0.0000  0.0010 2000000
1.650   0.0012  0.0000  0.0004 2000000
1.750   0.0000  0.0000  0.0001 2000000
0.050   0.3265  0.1066  0.0059 4000000
0.150   0.2986  0.0892  0.0060 4000000
0.250   0.2751  0.0757  0.0069 4000000
0.350   0.2517  0.0634  0.0047 4000000
0.450   0.2257  0.0510  0.0053 4000000
0.550   0.1912  0.0366  0.0054 4000000
0.650   0.1687  0.0285  0.0068 4000000
0.750   0.1340  0.0180  0.0053 4000000
0.850   0.1160  0.0135  0.0043 4000000
0.950   0.0874  0.0077  0.0043 4000000
1.050   0.0626  0.0039  0.0026 4000000
1.150   0.0448  0.0020  0.0036 4000000
1.250   0.0316  0.0010  0.0016 4000000
1.350   0.0182  0.0003  0.0014 4000000
1.450   0.0107  0.0001  0.0014 4000000
1.550   0.0047  0.0000  0.0007 4000000
1.650   0.0011  0.0000  0.0003 4000000
1.750   0.0000  0.0000  0.0001 4000000
0.050   0.3263  0.1065  0.0049 6000000
0.150   0.2998  0.0899  0.0052 6000000
0.250   0.2752  0.0758  0.0057 6000000
0.350   0.2515  0.0632  0.0039 6000000
0.450   0.2254  0.0508  0.0043 6000000
0.550   0.1918  0.0368  0.0045 6000000
0.650   0.1678  0.0282  0.0057 6000000
0.750   0.1350  0.0183  0.0046 6000000
0.850   0.1152  0.0133  0.0037 6000000
0.950   0.0873  0.0076  0.0035 6000000
1.050   0.0628  0.0040  0.0022 6000000
1.150   0.0445  0.0020  0.0030 6000000
1.250   0.0315  0.0010  0.0013 6000000
1.350   0.0185  0.0003  0.0012 6000000
1.450   0.0108  0.0001  0.0012 6000000
1.550   0.0049  0.0000  0.0006 6000000
1.650   0.0010  0.0000  0.0003 6000000
1.750   0.0001  0.0000  0.0001 6000000
0.050   0.3255  0.1060  0.0044 8000000
0.150   0.3004  0.0903  0.0046 8000000
0.250   0.2756  0.0760  0.0050 8000000
0.350   0.2511  0.0630  0.0035 8000000
0.450   0.2253  0.0508  0.0037 8000000
0.550   0.1921  0.0369  0.0040 8000000
0.650   0.1674  0.0281  0.0049 8000000
0.750   0.1356  0.0184  0.0041 8000000
0.850   0.1147  0.0132  0.0033 8000000
0.950   0.0873  0.0076  0.0030 8000000
1.050   0.0630  0.0040  0.0019 8000000
1.150   0.0445  0.0020  0.0026 8000000
1.250   0.0314  0.0010  0.0012 8000000
1.350   0.0185  0.0003  0.0011 8000000
1.450   0.0108  0.0001  0.0010 8000000
1.550   0.0049  0.0000  0.0006 8000000
1.650   0.0010  0.0000  0.0002 8000000
1.750   0.0001  0.0000  0.0001 8000000
0.050   0.3251  0.1057  0.0040 10000000
0.150   0.3008  0.0905  0.0042 10000000
0.250   0.2760  0.0762  0.0045 10000000
0.350   0.2508  0.0629  0.0031 10000000
0.450   0.2252  0.0507  0.0034 10000000
0.550   0.1923  0.0370  0.0036 10000000
0.650   0.1672  0.0280  0.0045 10000000
0.750   0.1359  0.0185  0.0037 10000000
0.850   0.1142  0.0131  0.0031 10000000
0.950   0.0873  0.0076  0.0027 10000000
1.050   0.0631  0.0040  0.0017 10000000
1.150   0.0444  0.0020  0.0023 10000000
1.250   0.0314  0.0010  0.0010 10000000
1.350   0.0186  0.0003  0.0010 10000000
1.450   0.0108  0.0001  0.0009 10000000
1.550   0.0050  0.0000  0.0005 10000000
1.650   0.0011  0.0000  0.0002 10000000
1.750   0.0001  0.0000  0.0000 10000000
0.050   0.3249  0.1056  0.0037 12000000
