# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0881545 -----------------
#dely    BF
0.050  0.1656  0.0066
0.150  0.1531  0.0062
0.250  0.1199  0.0052
0.350  0.1046  0.0049
0.450  0.0971  0.0048
0.550  0.0764  0.0041
0.650  0.0642  0.0040
0.750  0.0381  0.0027
0.850  0.0378  0.0030
0.950  0.0078  0.0009
1.050  0.0118  0.0015
1.150  0.0008  0.0001
1.250  0.0031  0.0007
1.350  0.0013  0.0004
1.450 -0.0002 -0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
