# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0717659 -----------------
#dely    BF
0.050  0.1248  0.0055
0.150  0.1292  0.0057
0.250  0.1009  0.0048
0.350  0.0943  0.0047
0.450  0.0756  0.0041
0.550  0.0659  0.0038
0.650  0.0553  0.0036
0.750  0.0275  0.0021
0.850  0.0160  0.0014
0.950  0.0138  0.0014
1.050  0.0065  0.0009
1.150  0.0049  0.0008
1.250  0.0033  0.0006
1.350  0.0001  0.0000
1.450 -0.0002 -0.0001
1.550 -0.0002 -0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
