# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.290037 -----------------
#dely    BF
0.050  0.4559  0.0029
0.150  0.4241  0.0028
0.250  0.3754  0.0026
0.350  0.3443  0.0025
0.450  0.3000  0.0023
0.550  0.2362  0.0020
0.650  0.2052  0.0018
0.750  0.1606  0.0016
0.850  0.1175  0.0013
0.950  0.0928  0.0011
1.050  0.0683  0.0009
1.150  0.0450  0.0007
1.250  0.0335  0.0006
1.350  0.0187  0.0004
1.450  0.0109  0.0003
1.550  0.0069  0.0002
1.650  0.0052  0.0002
1.750 -0.0000 -0.0000
