# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.0966482 -----------------
#dely    BF
0.050 -0.3025 -0.0020
0.150 -0.3318 -0.0023
0.250 -0.2092 -0.0015
0.350 -0.2199 -0.0017
0.450 -0.1071 -0.0009
0.550 -0.0501 -0.0004
0.650 -0.0295 -0.0003
0.750 -0.0329 -0.0003
0.850  0.0303  0.0003
0.950  0.0320  0.0004
1.050  0.0143  0.0002
1.150  0.0645  0.0010
1.250  0.0294  0.0005
1.350  0.0673  0.0013
1.450  0.0393  0.0009
1.550  0.0236  0.0007
1.650  0.0138  0.0005
1.750  0.0021  0.0001
