# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=0.466594 -----------------
#dely    BF
0.050  0.9109  0.0056
0.150  0.9459  0.0061
0.250  0.8336  0.0056
0.350  0.6788  0.0049
0.450  0.5271  0.0040
0.550  0.3891  0.0032
0.650  0.2759  0.0025
0.750  0.0629  0.0006
0.850  0.1102  0.0012
0.950  0.0459  0.0006
1.050  0.0088  0.0001
1.150 -0.0039 -0.0001
1.250 -0.0281 -0.0005
1.350 -0.0112 -0.0002
1.450 -0.0320 -0.0008
1.550 -0.0387 -0.0012
1.650 -0.0048 -0.0002
1.750 -0.0044 -0.0003
