# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=-0.0327024 -----------------
#dely    BF
0.050 -0.2958 -0.0100
0.150 -0.2967 -0.0102
0.250 -0.2022 -0.0074
0.350 -0.1407 -0.0058
0.450  0.0061  0.0003
0.550  0.1454  0.0073
0.650  0.1063  0.0062
0.750  0.0552  0.0040
0.850  0.0838  0.0075
0.950  0.0887  0.0082
1.050  0.0550  0.0063
1.150  0.0427  0.0055
1.250  0.0091  0.0023
1.350  0.0100  0.0028
1.450  0.0027  0.0014
1.550  0.0034  0.0020
1.650  0.0000  0.0000
1.750  0.0000  0.0000
