# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=0.0180436 -----------------
#dely    BF
0.050  0.0476  0.0080
0.150  0.0567  0.0096
0.250 -0.0001 -0.0000
0.350  0.0447  0.0089
0.450 -0.0045 -0.0015
0.550  0.0060  0.0019
0.650 -0.0015 -0.0007
0.750  0.0246  0.0082
0.850  0.0019  0.0013
0.950 -0.0043 -0.0025
1.050  0.0132  0.0076
1.150 -0.0024 -0.0024
1.250 -0.0014 -0.0010
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
