# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.1
# ------- normalization=0.0151497 -----------------
#dely    BF
0.050  0.0313  0.0061
0.150  0.0308  0.0066
0.250  0.0465  0.0088
0.350  0.0337  0.0075
0.450  0.0219  0.0053
0.550  0.0098  0.0025
0.650  0.0181  0.0052
0.750  0.0032  0.0008
0.850 -0.0171 -0.0057
0.950 -0.0151 -0.0062
1.050 -0.0109 -0.0077
1.150  0.0021  0.0015
1.250 -0.0027 -0.0027
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
