# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.250374 -----------------
#dely    BF
0.050  0.3916  0.0003
0.150  0.3613  0.0003
0.250  0.3266  0.0003
0.350  0.2906  0.0003
0.450  0.2532  0.0002
0.550  0.2147  0.0002
0.650  0.1767  0.0002
0.750  0.1412  0.0002
0.850  0.1121  0.0001
0.950  0.0825  0.0001
1.050  0.0602  0.0001
1.150  0.0398  0.0001
1.250  0.0260  0.0000
1.350  0.0152  0.0000
1.450  0.0079  0.0000
1.550  0.0034  0.0000
1.650  0.0007  0.0000
1.750 -0.0001 -0.0000
