'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.809151,0.718269,-0.102771,1.29006,0.889916,0.594727,0.822974,0.16221,-0.917141,1.56179,0.631817,0.336333
0.813219,0.71442,-0.102643,1.28978,0.90345,0.61487,0.814874,0.168316,-0.919516,1.57112,0.628301,0.334693
0.804694,0.719498,-0.107465,1.29148,0.903201,0.61547,0.812534,0.164265,-0.928969,1.56829,0.621606,0.323552
0.812892,0.725212,-0.0869233,1.29355,0.894049,0.602927,0.812563,0.161416,-0.9332,1.57082,0.62876,0.335264
0.817541,0.724523,-0.0812761,1.28428,0.900689,0.607555,0.8163,0.161372,-0.927887,1.56953,0.627391,0.332713
0.80549,0.750976,-0.0590692,1.267,0.894927,0.588771,0.801152,0.185995,-0.91307,1.54615,0.627846,0.324194
0.826566,0.73175,-0.0576812,1.2854,0.878102,0.574321,0.802158,0.167174,-0.939809,1.51851,0.628909,0.314543
0.82367,0.735509,-0.0561021,1.28822,0.880545,0.579616,0.805352,0.172172,-0.927589,1.51684,0.635068,0.32309
0.845343,0.718901,-0.0512914,1.30205,0.906326,0.626165,0.813577,0.169046,-0.920289,1.52784,0.62455,0.311848
0.850914,0.718804,-0.0440398,1.31692,0.892546,0.613776,0.808863,0.175131,-0.918003,1.531,0.624785,0.313488
0.852444,0.716331,-0.0457357,1.29286,0.899768,0.611113,0.81671,0.159278,-0.930441,1.56017,0.627575,0.329339
0.852444,0.716331,-0.0457357,1.29286,0.899768,0.611113,0.81671,0.159278,-0.930441,1.56017,0.627575,0.329339
0.864555,0.708621,-0.0416058,1.2976,0.891145,0.600873,0.812096,0.165243,-0.928136,1.5516,0.630994,0.331087
0.859314,0.723346,-0.0262538,1.28707,0.886965,0.588582,0.817098,0.174174,-0.907538,1.53612,0.62339,0.313473
0.862148,0.722741,-0.0235074,1.27391,0.900339,0.600978,0.799631,0.194429,-0.902684,1.53112,0.623202,0.311161
0.840693,0.73372,-0.0353081,1.27196,0.895535,0.592623,0.796459,0.212795,-0.879888,1.52283,0.618726,0.301051
0.83192,0.727419,-0.0567414,1.28082,0.876746,0.569633,0.80591,0.213171,-0.865261,1.52056,0.612061,0.290116
0.849301,0.715817,-0.0506527,1.2765,0.892278,0.590409,0.795097,0.230805,-0.854924,1.52219,0.617225,0.298537
0.841831,0.728256,-0.0419697,1.27293,0.905827,0.608634,0.783334,0.23329,-0.869232,1.52193,0.621522,0.304874
0.844856,0.732083,-0.0321668,1.27181,0.920793,0.63043,0.805031,0.207897,-0.874468,1.54126,0.622529,0.314258
0.843216,0.730714,-0.0364202,1.30635,0.905777,0.627755,0.809524,0.213213,-0.859908,1.52418,0.627194,0.314311
0.844572,0.715818,-0.0569468,1.29735,0.900444,0.614681,0.799805,0.219995,-0.864071,1.51844,0.636988,0.326636
0.844658,0.709857,-0.0657748,1.28107,0.909095,0.618302,0.7964,0.228116,-0.856993,1.52819,0.626776,0.315326
0.823862,0.740685,-0.0480688,1.25199,0.924687,0.624378,0.778053,0.236579,-0.872574,1.52832,0.609367,0.289263
0.816173,0.743213,-0.0551955,1.25982,0.925197,0.629883,0.777442,0.249915,-0.853533,1.53028,0.611479,0.293232
0.823186,0.73764,-0.053589,1.28224,0.902023,0.608379,0.766961,0.265674,-0.846679,1.51762,0.615834,0.294559
0.829399,0.755478,-0.0181356,1.27557,0.908279,0.613866,0.77264,0.233099,-0.886394,1.51689,0.606551,0.28033
0.825082,0.758306,-0.0199196,1.27564,0.913121,0.621173,0.781812,0.19968,-0.922029,1.53292,0.615161,0.299831
0.823354,0.745017,-0.0422834,1.25529,0.920287,0.619784,0.776343,0.199382,-0.93108,1.53175,0.614999,0.299112
0.801434,0.768511,-0.0387641,1.25281,0.927239,0.628708,0.769752,0.214597,-0.918789,1.54371,0.598769,0.279596
0.787053,0.776379,-0.0487365,1.24546,0.923028,0.617893,0.755805,0.239005,-0.905068,1.54109,0.611846,0.298159
0.781311,0.778867,-0.0539209,1.25896,0.915748,0.615192,0.772185,0.221186,-0.904995,1.54742,0.607788,0.294611
0.808984,0.762651,-0.0364347,1.25193,0.917734,0.613914,0.767302,0.221073,-0.913035,1.53487,0.61055,0.293704
0.825972,0.737348,-0.0501125,1.25015,0.918002,0.613229,0.770481,0.205892,-0.930674,1.52794,0.6112,0.291857
0.823469,0.735793,-0.0559612,1.24431,0.915458,0.60583,0.778956,0.205622,-0.917592,1.51166,0.609538,0.282634
0.833362,0.731217,-0.0490571,1.23491,0.913686,0.597326,0.792376,0.193615,-0.914841,1.49147,0.629084,0.303403
0.834144,0.723248,-0.0599374,1.24614,0.924968,0.62122,0.779524,0.216392,-0.900543,1.50456,0.618824,0.293584
0.830554,0.739666,-0.0402551,1.23591,0.919806,0.607134,0.78138,0.217693,-0.895681,1.50266,0.623858,0.30033
0.841094,0.726953,-0.0449187,1.25771,0.894692,0.582848,0.795356,0.184768,-0.923597,1.49091,0.640484,0.320267
0.844166,0.725111,-0.0435485,1.26944,0.892287,0.586261,0.809304,0.157332,-0.944061,1.49599,0.635257,0.3146
0.830667,0.725504,-0.0613456,1.3031,0.890156,0.602499,0.785755,0.19833,-0.917923,1.47305,0.637449,0.307945
0.853227,0.720919,-0.0378252,1.32033,0.87114,0.583534,0.811964,0.182481,-0.902466,1.45679,0.649311,0.318505
0.890417,0.693169,-0.0327025,1.32592,0.855812,0.56359,0.802878,0.18049,-0.918765,1.45547,0.637378,0.300006
0.890889,0.686391,-0.0423031,1.33176,0.86264,0.576992,0.814441,0.174417,-0.910987,1.44481,0.644291,0.305537
