'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.745301,1.79146,1.52743,1.08431
0.746856,1.79192,1.55298,1.03811
0.719729,1.73015,1.50214,1.07944
0.710096,1.71191,1.54541,1.08391
0.711528,1.64531,1.48997,1.10424
0.716448,1.67065,1.47606,1.10392
0.730822,1.69738,1.4745,1.10971
0.71037,1.67439,1.489,1.15452
0.696275,1.66574,1.53059,1.09153
0.688498,1.61607,1.56222,1.13449
0.6893,1.60546,1.57374,1.14234
0.707913,1.63882,1.54931,1.09623
0.690759,1.63417,1.56174,1.10678
0.701693,1.56952,1.52239,1.16489
0.684832,1.59508,1.53219,1.17336
0.688724,1.59167,1.54359,1.15416
0.672093,1.66767,1.55562,1.19429
0.683973,1.69738,1.5736,1.21207
0.692465,1.69936,1.51796,1.25922
0.720536,1.75807,1.49961,1.19579
0.721156,1.76436,1.50952,1.12327
0.718998,1.75709,1.48141,1.09475
0.746569,1.75014,1.51785,1.10666
0.7365,1.73927,1.5084,1.05661
0.745345,1.80778,1.50876,1.09197
0.731722,1.79258,1.5098,1.10682
0.731051,1.7705,1.55808,1.14845
0.709241,1.79883,1.55095,1.13441
0.709988,1.80843,1.56033,1.14276
0.709988,1.80843,1.56033,1.14276
0.750622,1.81233,1.54075,1.10067
0.727879,1.78152,1.52174,1.08448
0.717543,1.80434,1.56482,1.14317
0.684416,1.77757,1.57901,1.13061
0.718452,1.84203,1.60363,1.13751
0.718452,1.84203,1.60363,1.13751
0.718452,1.84203,1.60363,1.13751
0.7385,1.82726,1.52545,1.15055
0.735648,1.84739,1.53649,1.1632
0.698068,1.78566,1.54908,1.18514
0.720621,1.85774,1.55544,1.19502
0.706978,1.8488,1.50586,1.20201
0.719454,1.8898,1.51983,1.18507
0.730428,1.90031,1.51208,1.19687
0.720929,1.92164,1.53925,1.21194
0.688128,1.97921,1.56215,1.25294
0.689295,1.99552,1.58149,1.29601
0.668631,1.96519,1.59032,1.32096
0.655786,1.97248,1.60096,1.31237
0.65257,1.95514,1.63426,1.24984
0.648795,1.98219,1.64645,1.27502
0.660504,1.95968,1.63907,1.23487
0.660504,1.95968,1.63907,1.23487
0.676843,1.99196,1.57557,1.24975
0.683893,1.99091,1.54041,1.31114
0.662093,1.97905,1.60477,1.31243
0.662093,1.97905,1.60477,1.31243
0.692487,1.97638,1.56245,1.29046
0.678018,1.93562,1.5753,1.27711
0.691392,1.95019,1.54282,1.25691
0.712723,1.96805,1.53092,1.23652
0.757561,1.96909,1.46833,1.26581
0.735467,1.99304,1.44484,1.27842
0.776447,1.99495,1.39689,1.32838
0.748956,1.9323,1.39413,1.33461
0.747811,1.94152,1.37917,1.32427
0.727517,1.94912,1.45152,1.3582
0.714003,1.8813,1.48928,1.32245
