# ICODE=1701080941, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.281135 -----------------
#dely    BF
0.050  0.4964  0.0031
0.150  0.4727  0.0031
0.250  0.4144  0.0028
0.350  0.3586  0.0026
0.450  0.2608  0.0020
0.550  0.2368  0.0020
0.650  0.1645  0.0015
0.750  0.1302  0.0013
0.850  0.1026  0.0011
0.950  0.0773  0.0009
1.050  0.0358  0.0005
1.150  0.0289  0.0004
1.250  0.0111  0.0002
1.350  0.0113  0.0002
1.450  0.0062  0.0002
1.550  0.0032  0.0001
1.650  0.0012  0.0001
1.750 -0.0005 -0.0000
