# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0426268 -----------------
#dely    BF
0.050 -0.0767 -0.0061
0.150 -0.0844 -0.0069
0.250 -0.0853 -0.0075
0.350 -0.0582 -0.0060
0.450 -0.0355 -0.0039
0.550 -0.0240 -0.0030
0.650 -0.0201 -0.0027
0.750 -0.0181 -0.0031
0.850 -0.0046 -0.0009
0.950 -0.0033 -0.0009
1.050 -0.0075 -0.0019
1.150 -0.0037 -0.0018
1.250 -0.0029 -0.0013
1.350 -0.0019 -0.0011
1.450 -0.0002 -0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
