# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0961931 -----------------
#dely    BF
0.050  0.1510  0.0012
0.150  0.1500  0.0013
0.250  0.1316  0.0012
0.350  0.1187  0.0011
0.450  0.0818  0.0008
0.550  0.0874  0.0009
0.650  0.0637  0.0007
0.750  0.0551  0.0007
0.850  0.0383  0.0005
0.950  0.0288  0.0004
1.050  0.0245  0.0004
1.150  0.0102  0.0002
1.250  0.0066  0.0001
1.350  0.0072  0.0002
1.450  0.0055  0.0002
1.550  0.0005  0.0000
1.650  0.0011  0.0001
1.750 -0.0002 -0.0000
