# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.115928 -----------------
#dely    BF
0.050  0.2061  0.0004
0.150  0.1952  0.0004
0.250  0.1698  0.0004
0.350  0.1495  0.0004
0.450  0.1230  0.0003
0.550  0.0981  0.0003
0.650  0.0773  0.0002
0.750  0.0545  0.0002
0.850  0.0427  0.0002
0.950  0.0281  0.0001
1.050  0.0151  0.0001
1.150  0.0081  0.0000
1.250  0.0019  0.0000
1.350 -0.0007 -0.0000
1.450 -0.0029 -0.0000
1.550 -0.0028 -0.0000
1.650 -0.0025 -0.0000
1.750 -0.0010 -0.0000
