'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.306396,0.177233,0.384217,0.664316,0.127511,0.633161,0.545746,0.119468,0.469764,0.693118,0.134085,0.615
0.306396,0.177233,0.384217,0.664316,0.127511,0.633161,0.545746,0.119468,0.469764,0.693118,0.134085,0.615
0.30787,0.176858,0.385356,0.664838,0.127474,0.633231,0.546852,0.118496,0.465533,0.692056,0.133338,0.610771
0.30787,0.176858,0.385356,0.664838,0.127474,0.633231,0.546852,0.118496,0.465533,0.692056,0.133338,0.610771
0.307378,0.177052,0.385294,0.668569,0.12731,0.634194,0.541536,0.119753,0.468255,0.691655,0.1338,0.612906
0.307888,0.177274,0.387306,0.665088,0.128627,0.639295,0.541989,0.119158,0.465512,0.693393,0.134134,0.615368
0.306414,0.178205,0.388726,0.661872,0.12876,0.638406,0.551055,0.1176,0.463841,0.6975,0.133397,0.613518
0.311368,0.177184,0.393555,0.664993,0.128246,0.637288,0.543164,0.117893,0.459835,0.696421,0.133135,0.61172
0.311368,0.177184,0.393555,0.664993,0.128246,0.637288,0.543164,0.117893,0.459835,0.696421,0.133135,0.61172
0.311368,0.177184,0.393555,0.664993,0.128246,0.637288,0.543164,0.117893,0.459835,0.696421,0.133135,0.61172
0.310619,0.177146,0.391953,0.66648,0.128364,0.63862,0.53926,0.118324,0.459273,0.688175,0.132862,0.606617
0.311488,0.176657,0.39136,0.669581,0.127013,0.633153,0.539404,0.118649,0.461048,0.689332,0.133012,0.607901
0.311472,0.177387,0.394688,0.671205,0.127426,0.636062,0.545091,0.116605,0.454565,0.686755,0.13296,0.606459
0.311431,0.176877,0.392261,0.671495,0.127508,0.636623,0.542681,0.116965,0.454715,0.689504,0.13257,0.60576
0.309194,0.177608,0.391356,0.673158,0.128372,0.641876,0.545769,0.116512,0.454559,0.686445,0.13321,0.607569
0.309194,0.177608,0.391356,0.673158,0.128372,0.641876,0.545769,0.116512,0.454559,0.686445,0.13321,0.607569
0.306746,0.178788,0.392054,0.669355,0.127953,0.637888,0.543624,0.11675,0.454275,0.684444,0.13301,0.605642
0.304751,0.178993,0.389093,0.667972,0.126942,0.632007,0.539233,0.117724,0.456165,0.678032,0.132756,0.601379
0.303314,0.179211,0.387256,0.670627,0.128712,0.642419,0.535507,0.118135,0.45559,0.675359,0.132783,0.600247
0.302542,0.179124,0.38532,0.671067,0.128423,0.641137,0.535876,0.118519,0.457836,0.675389,0.132791,0.600302
0.302542,0.179124,0.38532,0.671067,0.128423,0.641137,0.535876,0.118519,0.457836,0.675389,0.132791,0.600302
0.302542,0.179124,0.38532,0.671067,0.128423,0.641137,0.535876,0.118519,0.457836,0.675389,0.132791,0.600302
0.30545,0.177627,0.38418,0.672677,0.127716,0.638264,0.532194,0.119129,0.458285,0.671658,0.133404,0.601599
0.305724,0.177897,0.385959,0.671249,0.126825,0.632981,0.530322,0.119992,0.461349,0.672144,0.134072,0.605183
