# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.235091 -----------------
#dely    BF    dB     BFVar
0.050  0.3958  0.0002  0.0049
0.150  0.3620  0.0002  0.0059
0.250  0.3183  0.0001  0.0032
0.350  0.2800  0.0001  0.0049
0.450  0.2337  0.0001  0.0028
0.550  0.1919  0.0001  0.0037
0.650  0.1519  0.0001  0.0040
0.750  0.1182  0.0001  0.0031
0.850  0.0907  0.0001  0.0026
0.950  0.0675  0.0001  0.0022
1.050  0.0486  0.0000  0.0018
1.150  0.0338  0.0000  0.0018
1.250  0.0231  0.0000  0.0017
1.350  0.0158  0.0000  0.0009
1.450  0.0098  0.0000  0.0007
1.550  0.0060  0.0000  0.0009
1.650  0.0031  0.0000  0.0012
1.750  0.0008  0.0000  0.0002
