# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0915335 -----------------
#dely    BF    dB     BFVar
0.050  0.1672  0.0019  0.0078
0.150  0.1549  0.0018  0.0101
0.250  0.1431  0.0017  0.0163
0.350  0.1181  0.0015  0.0068
0.450  0.0943  0.0014  0.0146
0.550  0.0795  0.0012  0.0056
0.650  0.0594  0.0010  0.0059
0.750  0.0420  0.0008  0.0250
0.850  0.0255  0.0006  0.0019
0.950  0.0139  0.0004  0.0022
1.050  0.0095  0.0003  0.0014
1.150  0.0051  0.0002  0.0014
1.250  0.0021  0.0001  0.0005
1.350  0.0006  0.0001  0.0001
1.450  0.0002  0.0000  0.0000
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
