# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=10000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.248289 -----------------
#dely    BF
0.050  0.4083  0.0003
0.150  0.3756  0.0003
0.250  0.3397  0.0003
0.350  0.2946  0.0002
0.450  0.2531  0.0002
0.550  0.2076  0.0002
0.650  0.1676  0.0002
0.750  0.1325  0.0002
0.850  0.1017  0.0001
0.950  0.0732  0.0001
1.050  0.0512  0.0001
1.150  0.0341  0.0001
1.250  0.0214  0.0001
1.350  0.0123  0.0000
1.450  0.0069  0.0000
1.550  0.0027  0.0000
1.650  0.0005  0.0000
1.750 -0.0000 -0.0000
