# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00656738 -----------------
#dely    BF    dB     BFVar
0.050 -0.0380 -0.0000  0.0025
0.150 -0.0351 -0.0000  0.0022
0.250 -0.0313 -0.0000  0.0038
0.350 -0.0230 -0.0000  0.0029
0.450 -0.0143 -0.0000  0.0034
0.550 -0.0066 -0.0000  0.0016
0.650 -0.0012 -0.0000  0.0023
0.750  0.0056  0.0000  0.0016
0.850  0.0078  0.0000  0.0019
0.950  0.0101  0.0000  0.0019
1.050  0.0115  0.0000  0.0010
1.150  0.0111  0.0000  0.0013
1.250  0.0104  0.0000  0.0009
1.350  0.0093  0.0000  0.0009
1.450  0.0077  0.0000  0.0004
1.550  0.0058  0.0000  0.0004
1.650  0.0035  0.0000  0.0002
1.750  0.0012  0.0000  0.0001
