# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.000843865 -----------------
#dely    BF
0.050  0.0726  0.0087
0.150  0.0431  0.0056
0.250  0.0060  0.0009
0.350  0.0015  0.0003
0.450 -0.0383 -0.0075
0.550 -0.0317 -0.0079
0.650 -0.0712 -0.0205
0.750  0.0022  0.0006
0.850 -0.0033 -0.0012
0.950  0.0000  0.0000
1.050  0.0000  0.0000
1.150  0.0000  0.0000
1.250  0.0108  0.0076
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
