# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00359995 -----------------
#dely    BF    dB     BFVar
0.050  0.0666  0.0006  0.0058
0.150  0.0364  0.0003  0.0069
0.250 -0.0035 -0.0000  0.0114
0.350 -0.0150 -0.0002  0.0057
0.450 -0.0215 -0.0003  0.0059
0.550 -0.0211 -0.0003  0.0039
0.650 -0.0212 -0.0004  0.0027
0.750 -0.0181 -0.0004  0.0030
0.850 -0.0153 -0.0004  0.0022
0.950 -0.0110 -0.0003  0.0031
1.050 -0.0066 -0.0002  0.0065
1.150 -0.0033 -0.0002  0.0064
1.250 -0.0016 -0.0001  0.0004
1.350 -0.0006 -0.0001  0.0003
1.450 -0.0002 -0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
