# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.343229 -----------------
#dely    BF
0.050  0.5505  0.0034
0.150  0.5063  0.0033
0.250  0.4280  0.0029
0.350  0.4306  0.0031
0.450  0.3890  0.0030
0.550  0.3082  0.0026
0.650  0.2613  0.0024
0.750  0.1884  0.0019
0.850  0.1328  0.0015
0.950  0.1116  0.0014
1.050  0.0582  0.0008
1.150  0.0372  0.0006
1.250  0.0115  0.0002
1.350  0.0130  0.0003
1.450  0.0068  0.0002
1.550  0.0037  0.0001
1.650 -0.0049 -0.0002
1.750 -0.0001 -0.0000
