# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.164241 -----------------
#dely    BF
0.050  0.2894  0.0007
0.150  0.2701  0.0007
0.250  0.2366  0.0007
0.350  0.2093  0.0006
0.450  0.1740  0.0006
0.550  0.1412  0.0005
0.650  0.1127  0.0004
0.750  0.0801  0.0003
0.850  0.0584  0.0003
0.950  0.0388  0.0002
1.050  0.0224  0.0001
1.150  0.0108  0.0001
1.250  0.0038  0.0000
1.350 -0.0002 -0.0000
1.450 -0.0017 -0.0000
1.550 -0.0016 -0.0000
1.650 -0.0013 -0.0000
1.750 -0.0003 -0.0000
