'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
1.00889,0.699688,0.103025,1.34278,0.928546,0.681747,0.878191,0.199005,-0.788975,1.64443,0.646445,0.389011
1.02292,0.685723,0.0950646,1.35518,0.917742,0.672047,0.877112,0.198076,-0.791706,1.64721,0.650144,0.395541
1.0159,0.684567,0.0868773,1.35928,0.919702,0.677114,0.87567,0.202219,-0.787285,1.64176,0.654974,0.400861
1.00566,0.711611,0.117873,1.34619,0.926817,0.680957,0.887658,0.179059,-0.807299,1.66762,0.649706,0.40198
1.00018,0.706701,0.105309,1.33997,0.931457,0.684622,0.887548,0.18224,-0.802661,1.6794,0.642238,0.394792
0.993721,0.708112,0.101217,1.33769,0.929526,0.680508,0.876009,0.194281,-0.798771,1.6867,0.649457,0.408086
0.991313,0.718427,0.114357,1.31934,0.936142,0.680505,0.872336,0.194223,-0.803448,1.68407,0.640297,0.393459
0.991113,0.731551,0.133852,1.34263,0.935801,0.692552,0.867033,0.186504,-0.821725,1.67246,0.647126,0.399767
0.991113,0.731551,0.133852,1.34263,0.935801,0.692552,0.867033,0.186504,-0.821725,1.67246,0.647126,0.399767
1.02603,0.70658,0.129179,1.34089,0.932334,0.686426,0.857898,0.198819,-0.814978,1.67147,0.641918,0.391617
1.00996,0.727657,0.145989,1.34765,0.925365,0.679546,0.838924,0.227547,-0.797059,1.65048,0.64549,0.389707
1.00511,0.737982,0.156922,1.33028,0.931231,0.679093,0.83681,0.238811,-0.783038,1.65826,0.645482,0.39241
1.01633,0.730298,0.155876,1.35332,0.93052,0.690246,0.839385,0.249216,-0.763927,1.67156,0.650963,0.405217
1.00427,0.73781,0.155866,1.3546,0.930724,0.691219,0.840596,0.251598,-0.758715,1.67228,0.642839,0.393273
1.01214,0.724897,0.143889,1.34968,0.9417,0.705113,0.840439,0.245268,-0.768422,1.67338,0.644084,0.395518
1.01493,0.723679,0.144658,1.33807,0.9368,0.691628,0.844151,0.248461,-0.758635,1.68661,0.639672,0.393373
1.01108,0.736013,0.159578,1.34218,0.955457,0.721801,0.862947,0.229577,-0.762322,1.66423,0.651276,0.403167
1.02293,0.755852,0.200278,1.35761,0.961768,0.739354,0.832921,0.260497,-0.755833,1.66369,0.655872,0.409878
1.02293,0.755852,0.200278,1.35761,0.961768,0.739354,0.832921,0.260497,-0.755833,1.66369,0.655872,0.409878
1.03308,0.725353,0.163701,1.38835,0.944441,0.728938,0.852652,0.232935,-0.770648,1.65692,0.661152,0.415452
1.02717,0.723581,0.155723,1.4106,0.934452,0.724803,0.870503,0.225677,-0.758566,1.6543,0.668578,0.425679
1.04765,0.70497,0.145981,1.41566,0.937838,0.732304,0.875256,0.220441,-0.760463,1.63426,0.672264,0.424131
1.05325,0.696459,0.138053,1.41508,0.933324,0.725254,0.863637,0.224739,-0.768696,1.63654,0.66487,0.413852
1.053,0.705717,0.151732,1.3944,0.946832,0.735508,0.856363,0.211091,-0.798565,1.64024,0.659658,0.407351
1.01515,0.738294,0.166785,1.40885,0.932148,0.720503,0.8525,0.246276,-0.750832,1.63488,0.663626,0.411392
1.01921,0.739347,0.172108,1.41755,0.911691,0.693976,0.826438,0.2808,-0.734369,1.6362,0.652044,0.394488
1.04396,0.7168,0.160504,1.44692,0.908403,0.702718,0.857831,0.257017,-0.727758,1.64072,0.658064,0.405129
1.04944,0.724649,0.177058,1.43557,0.912704,0.703953,0.846854,0.263523,-0.732429,1.64726,0.660531,0.411141
1.0161,0.780685,0.231255,1.46818,0.908618,0.712599,0.839683,0.261929,-0.744451,1.6453,0.662468,0.413358
1.0501,0.769242,0.244526,1.48042,0.92935,0.749079,0.819798,0.262475,-0.771221,1.63441,0.66818,0.418058
1.04879,0.761264,0.231419,1.49112,0.922558,0.743521,0.816512,0.272039,-0.761562,1.61832,0.664459,0.406665
1.0879,0.739853,0.232033,1.48223,0.92302,0.740373,0.822146,0.265014,-0.764084,1.61151,0.682048,0.430557
1.11194,0.721759,0.223869,1.48835,0.91058,0.72436,0.843792,0.243813,-0.766091,1.61922,0.681756,0.432942
1.09755,0.720627,0.210914,1.47932,0.914561,0.726413,0.843703,0.248741,-0.758817,1.63285,0.682368,0.438782
1.09544,0.718192,0.20558,1.47937,0.910228,0.719935,0.858824,0.235631,-0.758554,1.64057,0.681327,0.439973
1.09232,0.721878,0.208619,1.47598,0.913518,0.723388,0.852062,0.240534,-0.760023,1.64478,0.676486,0.434201
1.09424,0.72066,0.208329,1.46814,0.927372,0.740716,0.856012,0.219853,-0.785876,1.6423,0.67326,0.428484
1.07991,0.733453,0.215939,1.47615,0.946456,0.772875,0.875021,0.236132,-0.737217,1.62932,0.689531,0.448263
1.07872,0.724346,0.201303,1.48143,0.940068,0.765601,0.871806,0.259857,-0.70565,1.63788,0.683588,0.442412
1.08046,0.715075,0.188816,1.4683,0.933978,0.750697,0.891508,0.248812,-0.69801,1.65092,0.676379,0.436201
1.09007,0.712802,0.193203,1.46522,0.934683,0.750388,0.883876,0.251156,-0.703743,1.66846,0.664315,0.424183
1.09861,0.707508,0.192072,1.42552,0.963866,0.776014,0.850054,0.27248,-0.714745,1.63673,0.685315,0.444591
1.06985,0.722102,0.190595,1.43014,0.972391,0.790971,0.83505,0.278074,-0.726541,1.68321,0.659481,0.421948
1.05911,0.725399,0.186488,1.42435,0.978034,0.796718,0.83429,0.28145,-0.722519,1.65005,0.673217,0.43115
1.06052,0.736189,0.203873,1.42662,0.978483,0.79846,0.849461,0.265761,-0.725611,1.66494,0.669011,0.430019
1.06571,0.71565,0.177447,1.41529,0.993196,0.815175,0.843921,0.275532,-0.718332,1.65791,0.665784,0.422745
1.08827,0.730762,0.218694,1.39821,1.01515,0.839862,0.849339,0.256754,-0.739283,1.65736,0.669717,0.428454
1.11039,0.721731,0.222634,1.42061,1.01101,0.844432,0.833398,0.282187,-0.722638,1.64359,0.67452,0.430832
1.10882,0.71638,0.213384,1.40065,1.01703,0.843881,0.856301,0.253979,-0.734305,1.65014,0.677705,0.437918
1.09554,0.730749,0.224498,1.38742,1.01797,0.838788,0.841904,0.263277,-0.739429,1.68165,0.666981,0.432673
1.09054,0.744442,0.241046,1.3985,0.986428,0.796918,0.849235,0.257927,-0.737662,1.71408,0.669568,0.447299
1.09054,0.744442,0.241046,1.3985,0.986428,0.796918,0.849235,0.257927,-0.737662,1.71408,0.669568,0.447299
1.08728,0.743247,0.236628,1.36444,0.991515,0.787502,0.858032,0.252346,-0.734504,1.71867,0.658503,0.432188
1.07895,0.737729,0.221566,1.33282,0.983408,0.758735,0.848388,0.260676,-0.734659,1.71987,0.650873,0.42113
1.06421,0.75079,0.228901,1.34335,0.952977,0.718701,0.846595,0.2619,-0.735208,1.73432,0.661012,0.440967
1.0756,0.748377,0.23478,1.34881,0.936807,0.697321,0.84268,0.26033,-0.742804,1.73718,0.645472,0.41856
1.08576,0.756812,0.255744,1.36839,0.943303,0.717196,0.857155,0.230359,-0.768628,1.72493,0.659179,0.435218
1.10729,0.744291,0.254064,1.3866,0.936099,0.715552,0.857731,0.223443,-0.778254,1.71823,0.666952,0.444719
1.10493,0.74228,0.249207,1.40005,0.93572,0.721603,0.841308,0.233269,-0.785251,1.72117,0.663225,0.440078
1.11498,0.740331,0.254072,1.36038,0.950412,0.723751,0.858816,0.227041,-0.77145,1.69407,0.668704,0.439422
1.11001,0.743441,0.254906,1.34841,0.964776,0.73907,0.841523,0.23933,-0.775867,1.67966,0.67539,0.444616
1.10869,0.747817,0.260448,1.34811,0.954586,0.723626,0.818906,0.265189,-0.768418,1.68315,0.667319,0.433686
1.10386,0.749871,0.259755,1.35474,0.954731,0.727307,0.813339,0.264822,-0.77695,1.68467,0.659298,0.422166
1.08668,0.742167,0.234521,1.32539,0.963232,0.724448,0.802625,0.283304,-0.764899,1.67491,0.662877,0.424233
1.07399,0.751338,0.237893,1.31534,0.97414,0.735311,0.831,0.236005,-0.795227,1.68922,0.649921,0.409627
1.07399,0.751338,0.237893,1.31534,0.97414,0.735311,0.831,0.236005,-0.795227,1.68922,0.649921,0.409627
1.06677,0.744072,0.22098,1.30757,0.967567,0.721134,0.836712,0.238203,-0.784084,1.70835,0.640247,0.401442
1.06755,0.748697,0.228567,1.31043,0.97519,0.734161,0.823462,0.277518,-0.743469,1.71204,0.650026,0.41732
1.06027,0.747415,0.220506,1.31776,0.953631,0.705877,0.836967,0.262472,-0.747328,1.72212,0.646016,0.414568
1.09134,0.736358,0.229562,1.31542,0.949365,0.698188,0.838382,0.251164,-0.762365,1.73341,0.651623,0.426592
1.07324,0.745542,0.228581,1.31847,0.956897,0.711165,0.835704,0.246432,-0.773114,1.72615,0.643343,0.411853
1.06866,0.757812,0.243174,1.31892,0.96296,0.720509,0.837835,0.257171,-0.754097,1.7388,0.654719,0.432945
1.05773,0.763913,0.24309,1.309,0.956717,0.705653,0.836966,0.256667,-0.756036,1.74131,0.653928,0.432551
1.05917,0.749967,0.223399,1.3044,0.952966,0.697457,0.840525,0.253435,-0.756053,1.75249,0.646037,0.424209
1.06695,0.744691,0.222057,1.32544,0.953771,0.710286,0.846819,0.251408,-0.750651,1.76351,0.640127,0.41875
1.08005,0.731052,0.212451,1.32074,0.958047,0.714136,0.844832,0.25848,-0.742694,1.76399,0.634319,0.410185
1.05716,0.757727,0.233324,1.31871,0.953603,0.706353,0.830325,0.276627,-0.735221,1.75772,0.639515,0.416048
1.08072,0.731906,0.214283,1.31672,0.942979,0.689321,0.83322,0.293994,-0.705169,1.73876,0.648235,0.423203
1.0741,0.722815,0.195195,1.27881,0.948895,0.676696,0.857479,0.294376,-0.672169,1.74032,0.648453,0.424024
1.08846,0.689881,0.157521,1.29469,0.941209,0.674323,0.86907,0.293547,-0.658558,1.74606,0.62893,0.39654
1.06769,0.703874,0.161447,1.30005,0.926707,0.655609,0.863679,0.293218,-0.66591,1.74987,0.622164,0.38758
1.06769,0.703874,0.161447,1.30005,0.926707,0.655609,0.863679,0.293218,-0.66591,1.74987,0.622164,0.38758
1.071,0.714145,0.179616,1.25269,0.945186,0.65556,0.860201,0.304472,-0.653498,1.75351,0.631975,0.403433
1.071,0.714145,0.179616,1.25269,0.945186,0.65556,0.860201,0.304472,-0.653498,1.75351,0.631975,0.403433
1.08168,0.717109,0.192864,1.23874,0.92642,0.618819,0.855781,0.296664,-0.670946,1.75244,0.622162,0.388379
1.10073,0.711376,0.199546,1.2634,0.902289,0.597667,0.837295,0.321555,-0.658245,1.7478,0.6271,0.394337
1.1075,0.716324,0.212274,1.28792,0.910788,0.624809,0.847952,0.318124,-0.649057,1.73299,0.641211,0.41084
1.10281,0.720738,0.215226,1.29397,0.907754,0.623727,0.829484,0.328256,-0.658932,1.73118,0.640723,0.409529
1.09816,0.726867,0.220753,1.28749,0.896824,0.603612,0.847386,0.295556,-0.683664,1.73641,0.638417,0.407733
1.07819,0.723989,0.200334,1.32391,0.883757,0.604418,0.85382,0.279827,-0.698768,1.74223,0.646346,0.421466
1.07206,0.724633,0.19623,1.32878,0.872538,0.590229,0.846515,0.289284,-0.694234,1.76522,0.631028,0.405625
1.08609,0.73242,0.219422,1.32907,0.872066,0.589678,0.835005,0.299427,-0.694568,1.75764,0.624726,0.393836
